,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (microg/mg dry wt),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (1=browen,2=black)","Int-discolor (1=browen,2=black)","seed-discolor (1= browen, 2=black)","leaves -discolor (1=yello,2 =browen)","Stem-cankers (1=below-soil,2=above-soil)"
Infection plant,33.48,12.89,121,18.57,32.2,24.38,5.29,19.22,16.15,113.56,9.82,1,1,1,1,1,1,1,2,2,2
Infection plant,35.85,16.41,92.34,12.72,40.96,16.59,10.22,22.82,13.19,130.29,13.03,1,1,1,1,2,2,1,1,1,2
Infection plant,33.54,14.29,125.86,42.1,34.91,18.66,8.42,21.38,13.54,208.45,12.3,1,1,1,1,1,2,1,2,2,1
Infection plant,34.11,20.53,138.29,42,29.59,21.23,7.51,14.9,8.31,151.15,14.51,1,1,1,1,2,2,1,1,2,1
Infection plant,31.17,17.95,123.86,37.3,35.77,20.76,4.79,27.52,8.91,153.82,17.09,1,1,1,1,2,2,1,2,1,1
Infection plant,34.15,17.05,91.24,35.9,32.51,22.22,4.17,26.66,17.68,150.3,17.99,1,1,1,1,2,2,1,1,1,1
Infection plant,35.39,18.02,93.22,25.5,37.11,16.88,5.91,24.79,13.7,187.21,9.33,1,1,1,1,2,1,1,2,2,2
Infection plant,33.69,14.78,133.16,44.24,26.34,18.51,7.93,15.15,10.44,168.03,20.74,1,1,1,1,1,2,1,1,2,2
Infection plant,37.09,21.75,88.63,29.36,32.14,25.99,7.98,16.95,13.99,134.02,12.73,1,1,1,1,2,1,1,1,1,1
Infection plant,38.19,12.08,137.26,29.9,37.01,25.92,6.62,25.91,15.87,120.42,18.57,1,1,1,1,1,2,1,1,2,1
Infection plant,31.36,16.51,87.44,35.19,46.11,25.27,6.85,14.99,9.16,196.15,15.05,1,1,1,1,1,1,1,2,1,2
Infection plant,39.5,21.98,85.89,31.38,24.27,21.4,6.83,24.4,8.62,173.7,18.78,1,1,1,1,1,1,1,1,2,2
Infection plant,31.44,18.92,132.9,49.82,49.6,20.32,3.57,14.95,17.95,173,17.19,1,1,1,1,2,1,1,1,2,2
Infection plant,38.44,12.63,99.9,21,35.55,20.92,6.9,19.8,15.56,201,20.2,1,1,1,1,2,1,1,2,1,2
Infection plant,35.42,20.5,127.36,16.8,28.7,22.83,7.53,22.2,8.23,169.66,15.08,1,1,1,1,2,1,1,1,2,2
Infection plant,33.36,13.44,123.23,45.47,29.34,16.27,9.24,18.2,12.67,130.36,13.27,1,1,1,1,2,2,1,1,2,1
Infection plant,30.73,19.09,80.44,26.54,43.22,23.63,5.59,29.48,14.56,138.63,20.71,1,1,1,1,2,2,1,2,2,2
Infection plant,38.14,15.58,100.89,29.06,43.83,23.22,10.44,22.35,16.75,116.27,9.05,1,1,1,1,2,1,1,1,2,2
Infection plant,37.58,18.73,124.16,46.19,40.03,21.03,6.12,17.8,8.4,203.16,20,1,1,1,1,1,1,1,1,2,2
Infection plant,30.91,18.84,116.16,36.26,35.68,19.58,3.15,19.25,16.31,117.83,14.49,1,1,1,1,2,2,1,1,1,2
Infection plant,32.58,17.8,123.36,42.3,46.37,25.69,9.12,26.01,14.62,178,15.03,1,1,1,1,2,2,1,2,1,2
Infection plant,33.96,21.46,104.49,25.56,44.4,23.45,7.05,28.98,15.53,130.8,14.81,1,1,1,1,2,1,1,2,1,1
Infection plant,39.29,18.74,125.46,48.01,47.12,16.9,11.21,20.81,16.58,157.14,16.23,1,1,1,1,1,1,1,1,1,1
Infection plant,32.8,12.49,129.15,47.46,43.98,22.23,5.72,24.21,8.83,112.34,13.29,1,1,1,1,2,2,1,2,1,2
Infection plant,34.88,20.68,132.96,39,44,24.1,10.15,24.06,10.05,126.68,16.92,1,1,1,1,2,2,1,2,1,2
Infection plant,39.41,21.8,84.24,40.3,35.52,19.26,10.17,16.43,13,117.66,10.94,1,1,1,1,2,1,1,2,2,2
Infection plant,30.59,15.86,128.69,39.72,32.49,21.17,11.55,15.81,17.72,119.27,13.31,1,1,1,1,1,2,1,2,1,1
Infection plant,39.69,14.72,93.92,10.75,47.66,21.49,10.48,16.13,13.15,156.99,9.41,1,1,1,1,2,2,1,2,1,2
Infection plant,31.55,18.57,121.58,19.28,47.73,17.46,10.74,19.42,8.06,117,15.45,1,1,1,1,2,1,1,1,1,1
Infection plant,30.04,20.86,100.41,18.84,21.78,23.82,6.65,29.29,8.92,180.11,11.36,1,1,1,1,2,2,1,1,2,2
Infection plant,39.89,20.3,109.77,16.99,22.35,25.72,9.99,26.5,12.16,116.4,12.68,1,1,1,1,1,1,1,1,1,1
Infection plant,34.69,18.16,98.44,29.78,44.17,21.79,4.37,21.62,8.45,198.57,9.24,1,1,1,1,2,2,1,1,2,2
Infection plant,39.75,18.7,111.95,32.33,36.19,18.83,11.82,28.21,14.6,204.27,18.3,1,1,1,1,1,1,1,2,2,2
Infection plant,32.5,16.23,115.28,48.17,44.07,25.4,3.46,16.55,17.35,176.14,10.27,1,1,1,1,2,2,1,1,1,1
Infection plant,35.63,15.68,120.21,28.54,36.48,20.24,12.83,22.46,11.62,155.72,13.51,1,1,1,1,1,1,1,2,1,2
Infection plant,36.53,12.38,82.9,21.86,37.09,20.42,3.72,15.74,16.01,150.95,15.95,1,1,1,1,1,1,1,1,1,2
Infection plant,35.08,13.23,131.34,46.76,46.17,19.98,12.95,20.63,8.17,162.59,13.7,1,1,1,1,1,1,1,1,2,1
Infection plant,34.77,14.53,129.46,41.72,25.92,17.68,12.53,20.27,10.22,123.29,13.11,1,1,1,1,1,2,1,2,2,2
Infection plant,33.41,19.02,121.78,13.07,48.22,23.47,3.58,28.66,9.44,172,9.29,1,1,1,1,2,1,1,2,1,2
Infection plant,31.74,15.52,119.35,31.67,49.35,22.31,4.59,20.94,15.83,209.31,10.99,1,1,1,1,2,1,1,1,2,1
Infection plant,34.71,13.26,102.1,39.74,21.89,18.32,3.25,17.38,14.52,149.48,10.35,1,1,1,1,2,1,1,1,2,1
Infection plant,35.95,12.15,97.98,26.82,37.55,21.72,3.33,22.87,16.39,169.39,20.73,1,1,1,1,2,1,1,2,1,1
Infection plant,33.6,15.11,82.81,43.88,24.32,21.14,8.46,27.43,17.46,171.82,11.75,1,1,1,1,1,1,1,2,1,1
Infection plant,31.38,17.58,115.88,41,35.34,16.8,3.82,25.19,11.86,143.09,15.68,1,1,1,1,1,1,1,2,2,2
Infection plant,36.52,20.71,108.35,24.47,29.35,21.91,6.26,23.57,15.92,168.12,17.47,1,1,1,1,1,2,1,2,2,1
Infection plant,30.93,20.78,96.98,37.91,49.71,24.25,5.97,17.78,15.59,209.21,19.78,1,1,1,1,1,2,1,2,1,1
Infection plant,34.86,14.54,101.65,32.81,35.61,19.51,7.23,22.72,12.22,166.21,11.94,1,1,1,1,2,2,1,1,2,1
Infection plant,30.12,21.59,130,37.8,36.86,24.24,9.94,19.49,17.84,170.91,9.57,1,1,1,1,2,2,1,1,2,1
Infection plant,30.97,13.47,134.3,25.64,45.41,18.82,10.27,22.3,10.55,126.17,11.51,1,1,1,1,1,2,1,2,2,1
Infection plant,30.23,18.17,95.93,19.62,44.34,18.43,7.85,25.24,16.71,152.74,15.31,1,1,1,1,1,1,1,1,1,1
Infection plant,38.13,19.56,94.71,46.02,21.77,23.16,5.95,28.39,13.4,109.65,11.42,1,1,1,1,2,1,1,2,1,1
Infection plant,31.42,20.21,121.83,14.81,47.53,22.53,7.82,27.7,15.98,141.74,19.96,1,1,1,1,2,1,1,1,1,2
Infection plant,33.67,13.6,113.06,27.49,26.18,20.66,5,26.07,9.28,168.95,18.91,1,1,1,1,1,2,1,1,1,2
Infection plant,31.1,20.61,85.4,31.82,46.74,16.52,5.43,17.97,16.9,156.33,10.98,1,1,1,1,2,1,1,1,2,1
Infection plant,32.59,21.96,99.54,48.25,39.88,23.36,9.45,28.05,13.98,208.16,11.82,1,1,1,1,1,1,1,2,1,2
Infection plant,33.14,15.25,122.55,48.23,26.99,18.15,10.73,14.43,15.34,160.07,20.91,1,1,1,1,2,2,1,1,2,2
Infection plant,37.56,15.04,99.87,49.05,42.05,17.24,9.92,20.45,11.87,122.76,20.88,1,1,1,1,1,1,1,2,1,1
Infection plant,31,20.23,94.32,19.41,36.49,22.1,10.98,29.72,9.35,155.1,15.88,1,1,1,1,1,2,1,1,1,1
Infection plant,33.83,16.09,119.88,16.19,24.1,20.18,5.28,15.42,9.15,134.18,16.46,1,1,1,1,2,2,1,2,2,2
Infection plant,32.09,15.14,117.97,48.12,47.64,23.12,3.83,29.4,17.54,209.59,15.85,1,1,1,1,2,1,1,1,1,1
Infection plant,32.78,16.14,132.3,39.31,24.64,25.68,10.57,21.31,13.91,164.19,20.72,1,1,1,1,2,2,1,2,1,2
Infection plant,31.76,13.09,100.1,34.9,47.09,23.37,4.97,15.86,11.73,187.24,9.52,1,1,1,1,1,2,1,2,2,2
Infection plant,32.13,13.4,136.66,29.77,49.06,19.92,8.48,29.31,9.03,185,13.94,1,1,1,1,2,1,1,2,1,1
Infection plant,39.87,19.65,132.88,25.94,30.85,24.92,4.81,15.68,14.18,169.86,13.59,1,1,1,1,1,1,1,2,1,1
Infection plant,33.29,13.65,132.04,42.45,42.51,25.57,6.5,27.29,11.95,208.21,14.97,1,1,1,1,2,1,1,1,1,1
Infection plant,38.56,20.67,104,44.04,45.94,25.48,5.69,26.31,15.88,111,15.6,1,1,1,1,1,2,1,1,1,2
Infection plant,34.22,18.95,89.72,38.89,36.35,24.85,4.03,18.99,12.05,126.61,11.1,1,1,1,1,2,1,1,2,1,2
Infection plant,32.29,20.64,132.06,20.41,23.8,23.81,3.98,27.39,10.23,141.34,20.01,1,1,1,1,2,1,1,2,2,2
Infection plant,32.03,18.34,87.33,25.93,46.65,22.3,11.18,24.85,8.2,166.09,18.73,1,1,1,1,2,1,1,2,1,2
Infection plant,34.26,19.62,89.07,46.32,37.53,19.89,3.88,25.76,12.13,118.98,15.43,1,1,1,1,2,2,1,1,2,2
Infection plant,33.49,18.45,124.94,28.66,48.61,25.86,7.76,28.07,13.28,197.55,20.63,1,1,1,1,1,1,1,1,2,1
Infection plant,32.82,15.98,85.62,20,49.95,25.9,8.75,14.53,17.12,137.38,19.42,1,1,1,1,1,2,1,2,2,2
Infection plant,38.24,20.32,84.11,12.85,37.39,17.6,8.77,27.71,15.22,115.39,18,1,1,1,1,2,1,1,1,1,2
Infection plant,37.8,12.54,89.76,49.63,25.71,23.43,7.12,19.75,15.96,120.51,11.08,1,1,1,1,1,1,1,1,2,2
Infection plant,38.65,12.82,91.33,29.17,47.41,22.42,7.3,29.77,8.96,167,17,1,1,1,1,2,2,1,2,2,1
Infection plant,37.65,18.07,127,18.43,47.99,17.13,9.66,20.86,16.74,170.25,20.46,1,1,1,1,1,2,1,1,1,1
Infection plant,39.6,13.12,108.45,42.59,24.65,21.04,6.09,16.8,8.68,189.92,9.97,1,1,1,1,2,1,1,2,1,2
Infection plant,32.71,16.25,139.09,31.12,24.06,21.39,12.88,21.24,10.6,207.72,19.22,1,1,1,1,1,1,1,1,1,1
Infection plant,33.09,15.77,106.03,33.8,28.05,19.45,6.05,26.12,8.51,174.82,14.01,1,1,1,1,2,2,1,2,2,1
Infection plant,36.79,21.45,116.71,12.27,28.08,25.18,11.1,29.98,15.75,170.04,15.76,1,1,1,1,1,1,1,2,2,2
Infection plant,37.5,18.81,130.46,49.36,33.6,22.03,4.18,16.53,10.4,135.2,19.34,1,1,1,1,1,1,1,1,1,2
Infection plant,38.57,14.35,120.43,25.18,39.16,23.4,9.53,27.66,10,135.9,11.67,1,1,1,1,1,1,1,2,2,2
Infection plant,32.54,20.11,90.04,24.32,42.07,17.97,11.6,17.92,15.65,124.24,19.44,1,1,1,1,2,2,1,1,2,1
Infection plant,36.9,15.72,86.47,16.55,43.45,24.04,4.64,23.39,10.51,164.96,15.57,1,1,1,1,2,1,1,2,1,2
Infection plant,38.67,13.56,130.01,26.62,36.31,25.8,11.38,25.98,17.4,184.86,15.72,1,1,1,1,1,1,1,2,1,1
Infection plant,39.48,17.89,103,20.26,39.79,19.86,4.6,14.07,16.38,187.19,14.43,1,1,1,1,2,2,1,2,1,1
Infection plant,34.79,20.99,83.49,34.91,35.03,24.05,7.77,29.32,14.77,194.95,14.12,1,1,1,1,2,1,1,2,2,2
Infection plant,35.64,20.19,125.24,41.22,32.01,24.32,4.09,22.96,10.67,131.73,9.02,1,1,1,1,2,1,1,1,2,1
Infection plant,33.47,20.47,81.68,25,30.17,20.65,6.51,20.75,9.49,198.18,18.38,1,1,1,1,2,2,1,2,2,2
Infection plant,32.22,20,106.53,27.48,35.15,19.23,8.51,19.53,9.4,171.96,17.83,1,1,1,1,1,2,1,2,1,1
Infection plant,32.27,17.54,132.34,17.85,27.05,17.77,3.95,20.98,8.98,147.62,14.61,1,1,1,1,2,2,1,2,1,2
Infection plant,38,16.97,84.08,25.3,41.56,25.66,8.54,29.58,12.08,146.56,15.79,1,1,1,1,2,1,1,1,1,1
Infection plant,35.67,16.67,113.99,16.37,31.14,17.57,7.34,18.54,10.98,151.64,20.9,1,1,1,1,1,1,1,2,1,2
Infection plant,37.32,17.69,103.09,11.16,38.4,17.17,11.25,27,12.59,174.88,16.75,1,1,1,1,2,1,1,1,1,1
Infection plant,32.34,18.3,132.49,3739,28.5,18.04,6.3,16.76,8.56,172.6,12.01,1,1,1,1,1,1,1,2,2,1
Infection plant,35.17,16.98,135.41,30.87,25.79,20.25,8.09,20.57,13.11,192.46,14.32,1,1,1,1,1,2,1,1,1,2
Infection plant,38.39,15.62,122.14,39.66,32.48,16.06,11.06,19.95,11.09,155.49,14.77,1,1,1,1,2,2,1,1,1,2
Infection plant,30.44,17.15,94.97,49.16,32.43,23.18,6.11,16,15.91,127,14.59,1,1,1,1,1,1,1,1,1,2
Infection plant,34.58,16.62,125.47,34.44,25.89,17.82,3.05,14.57,17.59,208.25,15.64,1,1,1,1,1,2,1,1,1,1
Infection plant,38.41,14.86,94.82,23.28,49.86,17.92,9.44,24.58,13.87,209,11.29,1,1,1,1,1,2,1,2,1,1
Infection plant,38.7,17.34,135.87,24,39.48,22.63,5.23,28.04,11.41,207.09,13.6,1,1,1,1,1,2,1,1,2,1
Infection plant,34.52,19.41,133.57,12.68,22.36,17.41,4.83,14.52,17.41,147.17,9.03,1,1,1,1,2,2,1,1,1,2
Infection plant,39.31,12.99,99.78,34.02,41.41,19.49,11.28,25.6,13.8,140.12,10.44,1,1,1,1,2,2,1,2,2,2
Infection plant,37.89,16.07,139.36,35.22,33.83,24.97,10.63,15.54,10.9,179.34,14.18,1,1,1,1,1,2,1,2,1,2
Infection plant,39.45,20.03,98,22.63,38.37,17.67,5.86,25.2,16.91,113.28,16.86,1,1,1,1,1,1,1,1,2,2
Infection plant,30.63,20.82,88.93,33.74,22.11,16.25,11.63,24.61,13.17,147.31,11.88,1,1,1,1,1,1,1,1,1,2
Infection plant,33.44,15.49,120.08,19.37,38.74,18.07,10.53,29.06,12.17,179.48,9.61,1,1,1,1,1,1,1,2,2,2
Infection plant,39.33,16.86,82.37,14.47,23.01,16.29,9.14,18.22,9.98,120.89,11.02,1,1,1,1,1,2,1,2,1,1
Infection plant,36.15,16,126.27,10.72,38.52,16.3,7.04,17.43,14.84,114.91,13.38,1,1,1,1,2,2,1,2,1,1
Infection plant,34.96,21.19,121.62,19.79,30.83,20.4,4.87,26.32,15.24,153,20.13,1,1,1,1,2,2,1,2,1,1
Infection plant,39.16,12.18,98.73,29.04,22.45,18.95,5.87,27.12,13.94,197.95,12.71,1,1,1,1,1,1,1,2,2,2
Infection plant,32.35,13.98,119.21,49.97,38.51,22.66,8.93,20.41,10.96,196.35,10.07,1,1,1,1,2,1,1,1,2,2
Infection plant,33.45,17.04,107,18.94,26.77,23.06,6.36,29.83,12.38,190.23,9.81,1,1,1,1,1,2,1,2,2,1
Infection plant,33.56,19.63,130.4,18.97,40.27,22.15,7.29,29.18,14.92,171.7,13.68,1,1,1,1,1,2,1,1,2,1
Infection plant,38.29,20.93,99.86,12.1,49.54,24.29,6.93,29.64,11.61,181.71,17.12,1,1,1,1,1,2,1,2,1,2
Infection plant,37,13.49,137.15,43.99,31.56,25.39,4.35,29.94,10.79,156.02,11.78,1,1,1,1,1,2,1,2,2,1
Infection plant,33.16,17.53,131.98,39.41,37.46,16.75,4.38,29.89,9.69,204.91,20.58,1,1,1,1,2,2,1,2,2,2
Infection plant,34.05,21.56,120.61,46.57,27.88,23.5,12.56,20.01,16.14,191.75,12.35,1,1,1,1,2,1,1,1,1,2
Infection plant,31.95,14.17,119.94,47.58,26.72,16.04,3.84,21.79,17.03,128.12,11.03,1,1,1,1,2,2,1,2,1,2
Infection plant,39.53,18.89,125,14.7,22.7,20.74,6.81,16.49,8.14,160.05,15.56,1,1,1,1,1,1,1,1,2,2
Infection plant,32,21.99,136.32,17.19,45.51,20.57,4.26,20.13,8.11,181.38,15.62,1,1,1,1,1,1,1,2,1,1
Infection plant,35.89,19.89,80,23.21,40.47,24.41,12.17,16.61,11.4,110.31,12.29,1,1,1,1,1,2,1,2,2,2
Infection plant,39.7,14.42,123,48.36,48.14,16.35,6.37,27.81,10.53,160.8,18.58,1,1,1,1,2,1,1,1,1,2
Infection plant,37.38,14.23,121.56,30.58,47.05,24.68,3.23,28.19,14.98,143.89,12.82,1,1,1,1,2,2,1,2,1,2
Infection plant,37.22,15.96,91.28,21.07,46.83,21.05,12.44,24.66,13.14,151.82,10.52,1,1,1,1,2,1,1,2,1,2
Infection plant,38.36,13.88,123.1,26.83,31.6,24.49,11.48,14.36,17.2,142.36,15.01,1,1,1,1,2,1,1,1,2,1
Infection plant,33.17,21.16,98.42,41.32,43.43,22.8,4.53,29.25,10.31,203.59,14.37,1,1,1,1,2,2,1,2,2,2
Infection plant,34.17,20.01,127.6,14.43,26.94,24.48,4.72,23.83,11.06,172.97,19.43,1,1,1,1,2,2,1,1,1,1
Infection plant,35.14,12.59,97.87,47.79,20.19,17.75,7.94,14.18,16.67,182.15,20.17,1,1,1,1,2,2,1,2,1,2
Infection plant,35.04,17.75,123.04,46.52,48.31,16.93,4.24,18.11,11.36,169,14.03,1,1,1,1,2,1,1,2,2,1
Infection plant,30.62,12.2,122.1,19.66,36.36,18.92,11.45,18.14,9.62,115.21,13.66,1,1,1,1,2,2,1,1,1,1
Infection plant,34.08,19.98,126.33,27.81,24.42,17.71,10.45,16.27,17.98,195.43,12.72,1,1,1,1,1,1,1,2,1,1
Infection plant,32.97,19.18,125.25,15.21,36,17.84,9.25,18.48,9.07,136.1,9.06,1,1,1,1,1,2,1,2,2,2
Infection plant,31.46,21.42,89.94,23.74,32.25,17.65,10.68,29.05,8.95,197.33,20.47,1,1,1,1,2,1,1,1,2,2
Infection plant,39.98,15.55,134.23,46.97,38.34,22.38,6.71,20.74,17.74,171,20.11,1,1,1,1,2,2,1,1,1,2
Infection plant,31.09,19.04,80.21,18.62,27.47,25.36,5.02,16.65,14.93,195.05,13.24,1,1,1,1,2,2,1,1,1,1
Infection plant,33.84,18.44,81.25,46.77,24.16,22.62,5.88,25.51,9.11,181.81,13.83,1,1,1,1,2,1,1,2,2,2
Infection plant,30.14,19.48,104.66,15.51,34.47,23.93,11.01,22.67,17.43,202,10.51,1,1,1,1,1,1,1,2,1,2
Infection plant,36.47,13.97,128.5,18.67,38.83,18.97,12.67,25.37,13.43,162.65,9.83,1,1,1,1,1,1,1,2,2,1
Infection plant,32.87,15.45,80.43,36.55,23.19,23.46,4.92,25.64,12.27,163.88,10.16,1,1,1,1,1,2,1,1,1,1
Infection plant,35,20.62,93.41,27.45,39.56,23.97,11.19,23.29,17.66,208.87,10.69,1,1,1,1,1,2,1,1,1,2
Infection plant,35.91,15.48,134.94,15.05,31.3,17.91,9.41,26.65,9.19,200.3,20.23,1,1,1,1,1,1,1,2,2,2
Infection plant,39.77,20.87,95.72,29.08,27.28,20.73,7.31,28.25,10.36,179.4,11.52,1,1,1,1,1,2,1,1,2,2
Infection plant,36.26,12.51,108.41,11.76,25.76,24.42,8.96,14.28,17.86,152.39,16,1,1,1,1,1,1,1,2,2,2
Infection plant,38.83,12.91,132.85,38.93,45.83,16.83,9.35,25.79,11.05,178.66,18.54,1,1,1,1,2,2,1,2,1,1
Infection plant,39.71,13.73,111,26.06,47.69,25.37,12.61,29.33,17.8,122.84,10.09,1,1,1,1,2,2,1,2,1,2
Infection plant,31.81,14.15,135.15,27.79,25,24.47,6.61,18.69,14.97,126.53,11.4,1,1,1,1,1,1,1,1,2,1
Infection plant,39.08,13.21,96.12,24.21,38.99,23.73,9.42,14.22,13.58,177,12.06,1,1,1,1,1,2,1,1,1,2
Infection plant,38.85,12.44,91.62,20.27,48.52,19.5,10.97,15,15.84,185.9,12.42,1,1,1,1,1,1,1,2,2,1
Infection plant,38.81,12.64,123.34,47.61,22.37,20.83,5.04,19.7,16.18,183.17,11.53,1,1,1,1,2,1,1,2,2,2
Infection plant,35.57,12.04,121.22,47.3,45.84,18.71,7.69,28.31,10.57,158.98,12.74,1,1,1,1,1,2,1,1,1,1
Infection plant,32.7,20.2,118.06,13.47,21.75,17.87,6.34,17.98,12.74,173.32,9.38,1,1,1,1,2,2,1,1,1,1
Infection plant,36.44,13.14,130.1,11.51,37.74,18.72,5.74,25.67,12.86,137.88,14.33,1,1,1,1,2,2,1,1,1,1
Infection plant,32.17,13.07,107.56,41.17,26.22,19.94,3.2,29.42,13.1,161,10.2,1,1,1,1,2,1,1,1,1,1
Infection plant,32.93,19.26,124.28,46.7,39.17,22.26,7.1,15.51,17.78,122.26,16.43,1,1,1,1,1,2,1,2,1,1
Infection plant,34.92,15.26,135.52,47.94,48.77,19.99,11.83,27.94,9.8,124.81,11.61,1,1,1,1,1,1,1,2,1,2
Infection plant,38.49,12.98,128.53,20.97,49.63,17.52,5.99,27.69,11.51,144,20.21,1,1,1,1,1,1,1,2,1,1
Infection plant,37.06,18.38,133.82,20.93,49.75,21.16,11.07,23.32,9.42,207.35,17.34,1,1,1,1,2,2,1,2,1,2
Infection plant,39.18,18.41,124.65,43.36,47.23,25.58,9.59,29.78,14.41,144.75,12.18,1,1,1,1,2,1,1,2,1,2
Infection plant,32.69,14.28,97.19,35.98,39.83,18.64,3.41,14.74,11.08,144.81,17.44,1,1,1,1,2,1,1,2,2,1
Infection plant,33.37,15.76,136.89,16.83,27.91,25.32,12.1,23.52,12.68,171.11,20.43,1,1,1,1,1,2,1,2,2,1
Infection plant,31.58,21.66,98.85,16.11,44.71,19.95,5.47,25.35,10.13,194.43,20.99,1,1,1,1,1,1,1,2,2,2
Infection plant,35.6,17.09,102,11.68,38.18,19.25,6.67,29.87,15.76,207.18,18.71,1,1,1,1,1,1,1,2,2,2
Infection plant,34.2,14.8,99.22,45.49,37.96,23.56,10.16,18.93,14.32,133.76,11.22,1,1,1,1,2,1,1,2,1,1
Infection plant,39.52,15.88,90.63,39.7,24.36,22.28,4.84,19.12,14.22,141.79,10.91,1,1,1,1,2,1,1,2,2,2
Infection plant,37.74,18.5,128.86,46.58,45.42,17.69,5.09,24.38,13.24,178.49,14.23,1,1,1,1,2,1,1,1,1,1
Infection plant,31.87,19.06,122.22,49.52,28.17,20.99,11.14,26.14,13.3,182.4,14.84,1,1,1,1,2,2,1,2,2,1
Infection plant,38.28,14.36,81.03,45.89,38.04,21.84,4.5,21.3,16.88,146.03,10.87,1,1,1,1,2,2,1,2,2,2
Infection plant,31.45,14.38,114.11,46.3,20.07,24.67,12.21,26.29,12.21,112.69,12.09,1,1,1,1,2,1,1,1,2,2
Infection plant,38.51,17.76,85.64,46.6,28.9,21.64,11.52,20.49,14.06,165,15.77,1,1,1,1,1,1,1,1,2,2
Infection plant,33.38,12.24,106.45,25.31,27.81,18.12,9.65,28.81,13.02,162.56,19.57,1,1,1,1,1,2,1,2,2,1
Infection plant,35.72,19.57,126.29,22.85,30.05,16.95,7.02,26.1,8.46,185.45,10.72,1,1,1,1,1,1,1,1,2,1
Infection plant,35.73,19,82.65,36.64,35.95,21.94,3.93,20.82,13.31,205,10.18,1,1,1,1,1,1,1,2,2,2
Infection plant,31.5,15.32,108.97,15.17,42.68,22.58,8.85,20.42,16.89,162.82,10.37,1,1,1,1,1,1,1,2,1,1
Infection plant,31.22,13.52,124.66,37.47,46.86,23.21,10.29,16.14,14.12,205.31,14.54,1,1,1,1,2,2,1,1,1,1
Infection plant,34.04,17.86,89.27,12.91,33.04,20.55,10.87,22.53,11.6,168.5,13.44,1,1,1,1,1,1,1,2,1,2
Infection plant,39.44,14.59,127.42,25.28,39.04,25.46,8.19,29.99,9.37,127.12,12.12,1,1,1,1,2,1,1,2,1,1
Infection plant,32.2,15.17,111.15,41.77,23.78,16.4,10.36,18,14.81,188.02,10.3,1,1,1,1,1,2,1,1,2,1
Infection plant,36.35,16.68,83.19,17.07,24.37,24.95,7.01,16.56,17.64,128.2,11.09,1,1,1,1,2,1,1,2,1,1
Infection plant,35.53,17.41,86.31,18,47.96,23.33,3.32,18.92,13.56,140,9.68,1,1,1,1,2,2,1,1,1,2
Infection plant,30.2,17.26,97.27,18.63,31.57,22.27,5.84,16.83,16.97,145.9,19.1,1,1,1,1,1,1,1,2,2,1
Infection plant,38.99,13.18,92.57,47.23,38.64,17.78,11.98,22.58,17.52,206.03,15.29,1,1,1,1,2,2,1,1,1,1
Infection plant,37.13,16.69,91.86,46.65,29.49,20.37,5.44,28.57,10.72,112.83,15.63,1,1,1,1,2,2,1,2,1,2
Infection plant,35.06,17.98,136.33,48.26,38.08,20.03,8.16,25.55,8.36,149.06,10.28,1,1,1,1,1,2,1,2,1,1
Infection plant,37.92,17.14,110.19,28.21,37.87,16.28,7.03,22.66,17.7,185.04,12.79,1,1,1,1,1,1,1,2,2,2
Infection plant,31.52,18.43,125.87,21.96,28.42,25.45,8.61,18.44,8.28,128.29,9.34,1,1,1,1,1,2,1,1,2,2
Infection plant,37.99,18.77,134.68,27.53,37.93,16.96,6.17,29.62,14.61,199.35,12.51,1,1,1,1,2,1,1,1,1,2
Infection plant,33.62,17.25,82.17,37,29.6,25.89,7.86,27.93,15.93,137.43,12.13,1,1,1,1,2,1,1,1,2,1
Infection plant,37.97,14.06,114.2,24.41,47.46,19.7,5.89,21.42,9.31,208.47,15.89,1,1,1,1,2,2,1,1,1,2
Infection plant,30.28,19.92,102.31,22,31.09,16.66,5.93,16.07,12.48,163,14.44,1,1,1,1,1,2,1,1,1,1
Infection plant,37.47,13.45,131.28,45.43,37.79,18.96,6.21,26.21,13.37,166.14,12.05,1,1,1,1,2,2,1,2,1,1
Infection plant,36.49,12.95,106.79,25.21,39.54,20.05,4.89,22.19,15.14,192.49,20.78,1,1,1,1,1,1,1,1,2,2
Infection plant,36.64,20.84,101.06,31.47,25.96,24.36,10.1,27.45,13.79,149.66,13.75,1,1,1,1,1,1,1,2,2,2
Infection plant,31.64,17.59,92.42,11.09,24.94,17.73,9.18,18.74,15.15,131.19,19.59,1,1,1,1,1,1,1,2,2,1
Infection plant,37.71,17.43,95.45,28.08,27.18,21.89,3.34,26.71,12.95,199.1,9.5,1,1,1,1,2,1,1,2,2,2
Infection plant,36.11,18.03,109.34,40.16,47.49,23.39,3.42,21.18,11.32,136,13.53,1,1,1,1,1,2,1,1,2,1
Infection plant,38.84,21.64,93.37,28.9,49.27,21,9.84,20.9,17.81,174.19,10.49,1,1,1,1,1,1,1,2,1,2
