,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g.),Chlorophyll (mg/g),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (0=none, 1=browen,2=black)","Int-discolor (0=none,1=browen,2=black)","seed-discolor (0=absent,1= browen, 2=black)","leaves -discolor (0=absent,1=yello,2 =browen)","Stem-cankers (0=absent,1=below-soil,2=above-soil)"
Healthy soybean,93.08,27.64,155.36,60.28,94.92,60.28,15.44,48.48,27.62,364.7,43.77,0,0,0,0,0,0,0,0,0,0
Healthy soybean,84.54,40.52,140.24,59.74,76.05,59.74,13.23,57.83,24.03,289.38,28.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101.05,24.77,198,86.4,93.57,86.4,18.45,51.94,19.45,272.69,50.58,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.52,25.42,179.7,89.03,58.48,89.03,13.16,58.72,23.48,219.22,39,0,0,0,0,0,0,0,0,0,0
Healthy soybean,79.48,30.47,145.31,91.3,59.03,91.3,17.96,44.9,27.4,237,24.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,104.49,26.16,173.02,97.29,53.89,97.29,19.98,46.64,21.52,224.59,28.66,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.48,27.71,228.28,90.04,94,90.04,14.36,36,20.17,292.36,21.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.09,27.84,230.37,85.72,73.23,85.72,14.71,38.05,27.08,233.76,44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.69,40.42,162.88,59.15,63.96,59.15,15.79,41.78,22.93,297.58,41.61,0,0,0,0,0,0,0,0,0,0
Healthy soybean,55,30.89,144.88,91.35,60,91.35,15.08,47.73,24.45,409.62,24.36,0,0,0,0,0,0,0,0,0,0
Healthy soybean,95,34.18,159.78,95.82,90.76,95.82,20.39,37.66,26.52,360.84,41.24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,79.87,39.38,170.53,83.61,82,83.61,17.26,47.79,19.72,237.36,21.35,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.69,33.04,184.4,63.78,91.83,63.78,22.27,43.59,26,298.22,40.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.88,26.99,159.8,97.34,74,97.34,14.68,44.69,25.02,393.57,20,0,0,0,0,0,0,0,0,0,0
Healthy soybean,104.36,28.05,214.95,86.28,81.94,86.28,21.15,53.18,19.71,391.97,46.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.58,22.94,223.76,63.46,88.4,63.46,19.68,30.76,25.36,363.96,28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.28,37.5,239.49,94.35,80.24,94.35,18.39,34.27,20.08,295.21,27.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92.45,26.77,190.27,55.54,80.09,55.54,19.21,35.3,19.94,298.57,42,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.63,34.01,222.23,61.6,81.39,61.6,18.05,45.79,27.59,333.95,50.77,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101.65,27.16,216.56,62.3,50.37,62.3,20.53,47.42,22.63,227.54,46.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.22,32.26,179.82,64.82,63.92,64.82,20.88,33.53,21.82,297,47.8,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.49,22.82,149.92,55.47,54.95,55.47,13.15,47.83,18.47,323.84,47.7,0,0,0,0,0,0,0,0,0,0
Healthy soybean,84.79,35.89,195.79,95.54,59.29,95.54,14.14,52.67,24.79,228.11,40.12,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.99,38.18,225.56,66.06,58.6,66.06,15.65,54.57,26.11,315.1,39.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.74,32.61,152.13,63.84,72.64,63.84,22.62,49.61,19.36,261.24,36.21,0,0,0,0,0,0,0,0,0,0
Healthy soybean,105.62,39.3,209.29,89.08,61.7,89.08,22.79,38.67,18.37,320.65,47.69,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.04,22.08,171.95,98.95,83.44,98.95,13.4,59.5,20.5,248.01,37,0,0,0,0,0,0,0,0,0,0
Healthy soybean,87.62,39.91,218.17,96.71,93.17,96.71,14.56,41.67,19.62,269,43.62,0,0,0,0,0,0,0,0,0,0
Healthy soybean,104.84,24.63,149.65,91.99,87.37,91.99,16.33,55.44,20.68,362.01,30.27,0,0,0,0,0,0,0,0,0,0
Healthy soybean,44.03,23.92,169.88,86.81,73.25,86.81,13.67,42.04,24.19,270,38.04,0,0,0,0,0,0,0,0,0,0
Healthy soybean,108.57,33.61,155,78.89,82.49,78.89,21.02,49.3,27.36,359.08,35.24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,55.54,24.24,214.5,51.24,59.83,51.24,15.16,37.76,23.86,356.27,47.25,0,0,0,0,0,0,0,0,0,0
Healthy soybean,41.13,35.15,146.17,90.15,77.81,90.15,22.04,48.51,18.93,392,32.59,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.52,38,212.24,72.83,73.48,72.83,14.01,59.48,22.06,233.35,21.46,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.45,26.45,234.09,68.76,74.22,68.76,15.33,57.7,20.3,386.81,32.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.64,26.15,193.73,75.9,87.39,75.9,20.67,50.71,21.94,320.71,50.89,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.81,24.36,225.33,64,81.71,64,17.35,49.39,25.74,356,39.27,0,0,0,0,0,0,0,0,0,0
Healthy soybean,40.4,27.79,206.66,91.53,92.68,91.53,17.55,36.43,19.34,245.05,23.51,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.15,25.81,189.88,66.76,91.7,66.76,18.59,54.83,18.99,385.49,33.98,0,0,0,0,0,0,0,0,0,0
Healthy soybean,79.38,34.71,224.41,58.39,95.09,58.39,21.76,41.33,27.68,370.17,27.21,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.75,30.58,170.9,78.05,79.84,78.05,17.27,50.12,23.76,369,25.53,0,0,0,0,0,0,0,0,0,0
Healthy soybean,48.61,40.37,179.31,69.49,76.81,69.49,20.11,30.99,24.27,229.61,45.68,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.6,32,187.1,78.24,58.38,78.24,21.08,53.5,20.63,250.44,25.16,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.18,37.14,227.65,82.06,83.26,82.06,22.26,57.86,21.36,382.86,44.78,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.75,30.41,154.68,50.68,56.57,50.68,20.92,42.17,26.6,241,22.62,0,0,0,0,0,0,0,0,0,0
Healthy soybean,76,23.98,148.89,86.03,98.46,86.03,22.71,43.17,20.74,367.49,21.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66.05,35.29,203.6,71,69.58,71,20.72,57.68,22.34,382.79,38.85,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.09,40.99,222.72,97.2,75,97.2,19.48,49.45,23.66,226.55,33.78,0,0,0,0,0,0,0,0,0,0
Healthy soybean,40.78,27.27,150.09,96.81,66.32,96.81,15.18,31.51,23.65,388.05,21.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,108.01,36.44,184.64,62.98,69.34,62.98,16.69,54.34,18.19,400,31.15,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66.19,37.95,160,91.82,65.96,91.82,19.06,54.39,21.14,318.97,47.92,0,0,0,0,0,0,0,0,0,0
Healthy soybean,90.49,32.47,158.79,72.29,99.23,72.29,19.83,46.33,20.15,227,31.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.71,37.9,161.29,70.98,53.57,70.98,19.09,52.95,26.45,260,22.89,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.18,39.36,219,98.61,70.39,98.61,18.32,42.21,21.96,324.45,34.83,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.9,39.24,186.83,98.97,61,98.97,13.41,48,18.51,244.56,22.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,90.39,27.8,208.98,61.95,81.84,61.95,15.2,58.69,25.53,354.11,29.86,0,0,0,0,0,0,0,0,0,0
Healthy soybean,59.25,36.97,188.29,81.15,93.41,81.15,21.33,45.02,24.02,210.45,36.66,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.72,34.67,200.54,59.53,97.47,59.53,18.17,55.52,23.58,306.38,37.01,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.38,29.02,148.77,92.02,86.14,92.02,21.22,30.71,24.07,303.02,26.3,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.41,29.55,190,86,58.75,86,22.99,59.55,24.65,319.53,30.43,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.43,40.55,217.16,51.11,58.95,51.11,19.73,30.74,21.89,290.8,47.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.51,34.6,183.91,78.03,63.87,78.03,14.93,48.46,19.51,265.71,42.89,0,0,0,0,0,0,0,0,0,0
Healthy soybean,59.21,32.85,143.22,72.84,88.25,72.84,16.71,56.58,19.95,292.45,32.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,69.18,26.57,205.26,96.36,50.61,96.36,16.55,57.39,27.22,278.76,49.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.66,35.48,172.92,56.51,78.98,56.51,20.94,33.17,21.46,289.95,26.72,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.09,35.35,144.41,87.06,89.91,87.06,21.98,34.76,25.85,268.31,40.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.86,27.24,180,55.09,96.66,55.09,15.52,48.43,23.79,239.75,36.84,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98,25.97,186.82,56.73,88.48,56.73,18.49,45.97,27.12,406.63,46.08,0,0,0,0,0,0,0,0,0,0
Healthy soybean,105.99,24.07,160.75,96.67,59.72,96.67,22.58,36.62,23.08,409.26,38.73,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.09,23.47,211.96,61.2,73.42,61.2,22.91,55.34,19.22,383.35,40.15,0,0,0,0,0,0,0,0,0,0
Healthy soybean,61.5,34.04,169.7,63.63,66.44,63.63,14.55,47.02,20.28,236.75,42.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,67.25,34.91,234.24,68.07,87,68.07,15.31,51.91,18.28,406.76,29.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94.06,33.58,173.68,96,84,96,14.04,44.34,21.39,356.74,38.83,0,0,0,0,0,0,0,0,0,0
Healthy soybean,45.1,23.76,235.42,70.95,81.05,70.95,20.23,37.64,18.21,296.34,47,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.67,22.37,184,53.21,58.37,53.21,14,36.2,27.87,366,31.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,104.1,32.86,216.38,73.45,72.11,73.45,20.22,51.66,25.01,367,43.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,108,32.66,150.29,90.38,56,90.38,19.97,46.63,24.93,291.44,29.28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.47,31.24,161.71,67.66,79.42,67.66,17.53,32.65,22.36,271.35,25.68,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.54,34.39,155.16,63.93,86.68,63.93,17.59,56.11,21.63,286.04,41.48,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.19,25.15,237.76,98.14,79.22,98.14,20.89,50.13,24.63,245.98,28.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,41.12,22.86,194.47,72.28,80.92,72.28,16.34,36.91,24.2,256.37,20.62,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.22,26.03,231.03,88.28,60.17,88.28,16.66,38.1,22.2,365.72,23.63,0,0,0,0,0,0,0,0,0,0
Healthy soybean,54.38,25.75,155.65,66.61,50.28,66.61,14.03,49.63,21.01,219.57,46.88,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.85,22.1,204.37,72.19,82.92,72.19,22.31,46.61,27.05,218.57,24.64,0,0,0,0,0,0,0,0,0,0
Healthy soybean,89,35.04,158,69.93,78.11,69.93,16.27,38.59,22.95,368.88,24.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,75.5,39.78,173.99,97.14,84.87,97.14,19.89,40.98,24.44,389.52,34.47,0,0,0,0,0,0,0,0,0,0
Healthy soybean,88.2,28.28,227.08,56.19,85.61,56.19,15.32,43.26,26.94,249.45,43.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.93,39.9,179.53,55.24,87.2,55.24,18.35,48.32,26.1,406.44,46.35,0,0,0,0,0,0,0,0,0,0
Healthy soybean,42.81,37.84,192.15,63.53,90.48,63.53,14.35,55.87,25.15,236.62,24.52,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.74,24.2,146.58,59.48,84.88,59.48,22.07,59.68,24.75,351.8,33.99,0,0,0,0,0,0,0,0,0,0
Healthy soybean,42,26.13,155.1,67.48,79.18,67.48,21.38,57.9,18.58,347.46,25.33,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.63,24.51,237.13,61.39,94.71,61.39,19.04,39.53,27.69,216.4,35.33,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92,32.97,230.79,66.69,82.88,66.69,15.53,38.22,25.47,328.4,47.29,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94.07,39.39,209.48,61.67,52.84,61.67,20.95,36.98,25.62,325.25,32.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.63,37.11,192.86,80.77,86.47,80.77,21.82,47.96,24.25,271,45.62,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.81,31.55,142.57,52.48,70.68,52.48,18.53,51.3,26.88,307.32,30.94,0,0,0,0,0,0,0,0,0,0
Healthy soybean,69.07,37.13,163.35,86.27,64.93,86.27,22,54,26.26,393.7,28.7,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.65,26.66,204,64.24,68.55,64.24,17.36,58,25.52,352.62,40.74,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.26,24.85,165.71,84.65,53.82,84.65,17.48,58.15,19.76,385.55,26.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.04,37.4,165.63,99.97,69.52,99.97,13.73,39.25,18.96,388.98,21.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.61,33.35,176.59,50.79,85.56,50.79,20.52,45.85,20.89,306.79,31.21,0,0,0,0,0,0,0,0,0,0
Healthy soybean,44.02,38.75,210.01,96.47,85.71,96.47,21.43,46.27,18.5,300.38,44.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,99.09,32.82,218,55.22,76.02,55.22,18.87,55.8,20.01,373.04,35.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,78.23,32.58,150.39,52.4,98.78,52.4,15.05,54.46,24.96,256.68,23.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63,38.46,188,58.89,90.56,58.89,22.03,43.72,23.59,225.23,37.52,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.61,25.73,202.22,63.68,71.77,63.68,17.2,33.28,22.59,270.71,36.73,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92.53,32.46,232.26,72.32,66.74,72.32,20.08,58.75,26.31,277,21.19,0,0,0,0,0,0,0,0,0,0
Healthy soybean,42.84,25.28,172,60.03,97.08,60.03,19.26,55.79,26.53,362.59,29.35,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.34,31.26,215,98.41,88.71,98.41,17.79,51.34,21.45,337.65,37.81,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.14,38.72,216.85,70.02,90.06,70.02,15.56,53.97,20.02,393.68,44.22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.86,23.64,168.94,53.16,50.67,53.16,17.13,47.88,22.85,350.39,38.59,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.69,31.72,190.24,74.22,64.96,74.22,16.26,46.02,20.34,397,41.59,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.55,35.22,183.94,70.76,61.28,70.76,17.91,55.95,25.22,324,42.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,88.39,34.25,199.8,59.46,98.98,59.46,17.07,58.24,18.26,284.82,39.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,54.28,39.32,216,92.57,81.83,92.57,19.94,55.5,26.25,303.51,48.26,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.95,22.09,150.18,77.91,57.95,77.91,13.3,59.26,18.95,225.45,49.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.18,29.75,195.46,75,97.99,75,18.61,41.44,19.49,283.02,22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,47.7,38.87,164.63,74.07,98.03,74.07,15.98,58.66,26.3,265,32.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.9,35.38,146.96,85.25,94.39,85.25,14.42,42.26,21.28,399.31,20.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,46.33,30.56,197,78.47,73.83,78.47,19.25,53.12,22.84,292.09,33.49,0,0,0,0,0,0,0,0,0,0
Healthy soybean,85.93,31.38,229.73,84,56.16,84,20.78,35.1,24.57,253.48,47.26,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.06,30.23,220.14,64.75,84.15,64.75,20.44,31.76,24.66,221.28,22.04,0,0,0,0,0,0,0,0,0,0
Healthy soybean,65.49,28.58,158.93,54.99,88.43,54.99,21.28,39.59,19.06,273.55,48.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,85.48,38.38,168,71.45,52.9,71.45,21.73,52.84,19.73,271.33,30.59,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.46,35.56,180.64,64.26,68.53,64.26,14.95,47.54,20.18,249.49,34.05,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.22,27.47,159.77,56.89,62.37,56.89,13.22,40.95,22.18,385,33.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101,39.48,184.85,78.31,50.91,78.31,16.44,52.4,20.26,284,26.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.05,34.94,222.87,52.73,86.46,52.73,15.29,52.09,22.17,312.93,30.7,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.7,26.82,232.86,63.07,89,63.07,18.3,59.52,19.61,355,22.32,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.79,29.97,140.62,98.81,97.38,98.81,14.25,48.27,20.42,285.83,31.61,0,0,0,0,0,0,0,0,0,0
Healthy soybean,78.93,31.42,196.23,89.82,67.45,89.82,13.32,44.67,18.9,401.7,33.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.81,22.14,171.14,90.27,94.29,90.27,17.14,32.72,23.17,240,23.8,0,0,0,0,0,0,0,0,0,0
Healthy soybean,73.16,33.45,149.38,57,76.06,57,15.3,45.98,25.69,300.32,27.83,0,0,0,0,0,0,0,0,0,0
Healthy soybean,85.05,40.07,239,62.68,98.54,62.68,21.88,53.96,23.93,267,23.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.82,22.6,205.61,73.89,85.77,73.89,21.17,30.32,22.54,296.69,26.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,103.33,33.43,221.43,64.64,92.29,64.64,21.4,45.63,19.33,344,24.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.7,23,186,68.33,82.91,68.33,19.03,47.5,18.79,270.35,27.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,107,25.34,169.95,70.62,52.29,70.62,21.84,35.68,27.64,408.56,39.08,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101.72,30.77,141.06,97.87,74.44,97.87,22.13,48.8,25.61,268,26.22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,78.34,37.64,203.45,86.07,81.53,86.07,15.71,38.97,21.57,327,50.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,49.14,27.45,173.17,74.75,60.89,74.75,22.56,59.18,19.56,231.49,25.39,0,0,0,0,0,0,0,0,0,0
Healthy soybean,101.87,23.68,186.9,82.49,51.45,82.49,17.29,58.39,27.95,381.16,41.96,0,0,0,0,0,0,0,0,0,0
Healthy soybean,45.48,24.93,192.28,92.55,77.14,92.55,14.29,55.31,23.71,341,40.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,84.96,23.29,143,77.04,86.9,77.04,21.5,53.94,24.59,216.73,49.12,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.31,39.69,166.62,97.42,91.71,97.42,17.28,49.1,22.82,227.95,30.39,0,0,0,0,0,0,0,0,0,0
Healthy soybean,57,23.38,195.39,78.58,92.93,78.58,20.13,56.79,25.6,216,42.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,81.36,33.94,144.26,51.89,65.37,51.89,21.48,46.88,26.09,211,38.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,75.35,27.97,207.07,61.51,55.65,61.51,18.65,32.49,27.09,386.06,37.07,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.93,36.33,224.68,71.16,68.31,71.16,19.91,42.05,23.04,363.47,29.66,0,0,0,0,0,0,0,0,0,0
Healthy soybean,47.81,32.94,225.3,52.3,90.38,52.3,14.05,43.31,26.14,212,46.24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,98.58,34.28,210.68,83.12,80.58,83.12,17,49,25.64,365.55,39.24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.12,35.02,224.19,88.82,80.46,88.82,15.61,34.34,18.69,247.63,23.95,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.82,28.81,209.42,58.5,70.61,58.5,18.18,52.44,25.82,330,42.28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.95,36.39,160.17,52.28,79.24,52.28,21.23,31.95,20.7,342.58,38.15,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.37,26.14,173.39,65.48,96.73,65.48,15.87,45.9,22.05,261.04,33.14,0,0,0,0,0,0,0,0,0,0
Healthy soybean,92.26,40.57,173.16,73.25,74.27,73.25,15.92,31.81,21.54,300,30.82,0,0,0,0,0,0,0,0,0,0
Healthy soybean,77.84,28.41,188.17,85.42,73.72,85.42,14.31,49.78,19.02,214.37,43.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.91,26.35,237.23,65.72,86.28,65.72,22.18,41.49,27.14,218.11,22.63,0,0,0,0,0,0,0,0,0,0
Healthy soybean,72.49,25.44,214.54,91.36,73.81,91.36,15.13,47.34,25.48,377.89,28.91,0,0,0,0,0,0,0,0,0,0
Healthy soybean,103.18,29.45,204.53,77,91.84,77,18.31,46.39,20.27,245,21.11,0,0,0,0,0,0,0,0,0,0
Healthy soybean,90.11,36.73,149,90.72,98,90.72,14.37,46.68,18,399.96,31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93,31.02,237.53,76.89,65.5,76.89,16.51,58.57,18.22,332,35.53,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.69,22.56,167.65,97,95.35,97,15.89,56.61,25.3,361,38.09,0,0,0,0,0,0,0,0,0,0
Healthy soybean,68.69,37.24,214,92,67.29,92,21.72,41.45,23.94,232.4,32.86,0,0,0,0,0,0,0,0,0,0
Healthy soybean,74.88,31.12,153.82,67.22,53.59,67.22,18.91,46.66,22.33,232.93,34.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,48.73,40.48,149.75,68.57,77.76,68.57,13.18,51.45,18.16,336.47,21.16,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.92,30.63,145.74,81.08,66,81.08,13.61,33.39,19.48,258.65,45.05,0,0,0,0,0,0,0,0,0,0
Healthy soybean,107.72,38.21,217.53,84.75,85.57,84.75,14.24,41.64,23.11,324.11,29.78,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.3,23.13,149.42,76.7,65.13,76.7,18.92,58.51,18.55,334,42.34,0,0,0,0,0,0,0,0,0,0
Healthy soybean,91.53,32.44,220.39,71.56,65.07,71.56,15.25,44.87,20.86,396.96,49.44,0,0,0,0,0,0,0,0,0,0
Healthy soybean,108.83,34.05,232.6,52.03,88.67,52.03,19.33,37.43,19.18,388.17,43.35,0,0,0,0,0,0,0,0,0,0
Healthy soybean,99.41,30.78,223.85,90.23,69.74,90.23,14.5,33.61,26.93,246.41,41.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,55.42,24.53,237.55,91.41,55.2,91.41,22.48,41.79,21.35,218.14,48.18,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.26,27.44,196.14,74.01,51.99,74.01,16.94,41.43,20.81,263.03,46.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,42.07,32.15,166.41,59.91,79,59.91,20.97,48.37,26.7,378.95,28.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.71,37.54,195.65,58.01,60.73,58.01,19.05,32.79,24.85,267.73,36.15,0,0,0,0,0,0,0,0,0,0
Healthy soybean,106.04,31.89,186.99,79.4,57.89,79.4,21.25,55.1,27.66,330.87,26.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,83.79,29.81,196.45,50.36,95.28,50.36,16.57,32.08,27.17,260.47,30.04,0,0,0,0,0,0,0,0,0,0
Healthy soybean,58.55,23.24,159.59,66.87,80.72,66.87,22.66,58.13,25.58,220.39,45.87,0,0,0,0,0,0,0,0,0,0
Healthy soybean,86.1,30.04,151.18,58.86,68.95,58.86,17.73,41.95,18.35,281,42.19,0,0,0,0,0,0,0,0,0,0
Healthy soybean,50.04,40.01,176.14,50.37,87.17,50.37,17.33,31.63,26.57,214.21,38.65,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.09,36.51,162.06,94.19,65.75,94.19,19.53,53.79,20.95,370.8,42.85,0,0,0,0,0,0,0,0,0,0
Healthy soybean,109.99,36.26,213,74,68.24,74,17.51,43.8,18.2,325.6,46.28,0,0,0,0,0,0,0,0,0,0
Healthy soybean,77,24.45,196.44,86.1,62.23,86.1,17.03,35.36,22.4,289.99,20.13,0,0,0,0,0,0,0,0,0,0
Healthy soybean,52.57,25.58,198.32,59,52.09,59,22.14,42.72,18.65,387.46,34.08,0,0,0,0,0,0,0,0,0,0
Healthy soybean,69.83,31.71,192.8,57.13,89.22,57.13,19.24,30.61,18.89,385.05,41.71,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.97,25.54,154,67.18,70.57,67.18,13.94,39.34,25.8,300.09,27.97,0,0,0,0,0,0,0,0,0,0
Healthy soybean,109.21,23.63,176.47,82.54,77.49,82.54,19.49,52.38,21.56,346,20.17,0,0,0,0,0,0,0,0,0,0
Healthy soybean,56.8,26.74,185.81,68.27,57.26,68.27,22.32,59.99,19.85,233.72,46.29,0,0,0,0,0,0,0,0,0,0
Healthy soybean,54.92,32.76,153.17,87.12,50.16,87.12,17.84,45.54,20.99,265.11,33.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.75,27.43,238,72.05,99.83,72.05,13.38,47.9,18.45,352.8,27.41,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64.19,40,174,79.25,90.14,79.25,19.86,54.65,21.47,352.45,26.32,0,0,0,0,0,0,0,0,0,0
Healthy soybean,64,28.49,183.2,79.74,60.96,79.74,16.76,59.89,20.51,259.74,26.35,0,0,0,0,0,0,0,0,0,0
