,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,107.74,23.14,171.23,85.69,51.7,85.69,22.86,48.13,25.09,231,44.97,16.24,64.72,29.45,18.19,21.25,17.16,1.42,18.89,15.42,17.22
Healthy soybean,107.61,29.87,156.16,69.28,55.77,69.28,14.3,58.71,22.47,234.9,49.52,11.26,86.97,27.79,14.1,25.35,13.65,1.86,11.6,22.03,12.18
Healthy soybean,53.37,26.93,169.65,98.67,65.44,98.67,16.52,45.59,27.42,315.47,48.71,14.98,90.72,23.81,14.27,28.84,18.82,10.43,13.72,14.39,14.35
Healthy soybean,51.03,29.95,235.16,79.38,81.85,79.38,18.83,51.79,27.58,252.65,23.58,8.23,92.16,25.39,11.43,29.73,19.86,9.92,10.61,21.12,20.7
Healthy soybean,61.95,30.79,239.38,57.42,76.31,57.42,19.18,42.55,24.4,335.12,28.49,15.55,72.52,24.8,17.48,29.67,14.17,9.49,16.07,16.91,17.3
Healthy soybean,50.27,32.8,143.45,56.31,51.86,56.31,14.26,52.34,22.19,248.35,36.28,11.08,97.58,29.92,19.38,29.17,14.78,8.18,16.58,18.21,15.95
Healthy soybean,76.45,35.55,153.54,79.6,77.75,79.6,22.39,58.89,24.69,383,38.18,9.41,71.99,21.56,13.78,22.2,14,1.33,13.16,16.04,16.54
Healthy soybean,82.53,26.53,141.5,69.39,78.18,69.39,14.41,45.15,26.56,312,34.72,13.88,80.24,25.26,11.06,25.41,14.8,5.94,12.18,23.45,17
Healthy soybean,72.48,22.07,169.98,86.46,52.58,86.46,21.59,37.03,18.78,383.84,48.55,9.84,96,26.33,20.18,26.93,16.65,8.27,15.02,16.32,16.1
Healthy soybean,104.46,26.72,198.51,64.7,61.94,64.7,17.92,40.94,26.89,255.8,47.32,10.41,76.13,27.3,20.85,21.23,18.26,3.52,14.2,18.84,13.43
Healthy soybean,99.37,29.37,175.16,51.06,59.45,51.06,22.64,35.86,26.15,408.18,46.14,13.78,50.52,29.46,14.88,26.59,15.8,9.81,13.1,14.28,15.7
Healthy soybean,83.46,38.42,199.22,70.73,97.43,70.73,17.21,52.15,19.04,338.3,41.68,8.39,56.68,21.77,16.25,26.84,14.47,7.74,9.52,23.41,15.75
Healthy soybean,53.24,26.02,144.78,51,64.01,51,22.25,34.15,25.23,352.93,27.31,12.11,87.06,23.69,13.72,29.43,12.59,10.38,17.11,18.26,17.9
Healthy soybean,100.58,37.2,184.22,70.28,72.89,70.28,21.09,37.72,23.6,367.18,35.74,9.67,51.85,28.49,18.85,23.45,11.33,6.27,18.67,14.21,13.11
Healthy soybean,40.26,27.4,211.68,66.05,96.76,66.05,20.96,49.89,22.55,215.18,36.95,16.26,98.2,22.38,14.75,24.44,12.19,6.28,9.33,19.53,19.4
Healthy soybean,46.67,35.72,178.27,83,88,83,13.39,32.34,27.52,238,39.82,8.64,98.95,26.34,19.23,28.85,11.09,10.14,15.11,22.08,16.33
Healthy soybean,91.95,31.67,161.7,90.55,84.82,90.55,13.85,34.61,18.04,235,36.48,9.13,83.31,23.98,14.11,21.85,14.49,6.47,12.34,14.77,16.57
Healthy soybean,40.76,26.86,181.88,67.45,52.5,67.45,22.84,40.3,22.1,280.42,32.53,13.1,55.4,23.93,20.23,28.5,18.94,9.5,11.46,18.62,13.23
Healthy soybean,77.55,39.16,205,86.59,99.17,86.59,22.06,57.43,25.35,336.26,22.8,16.04,81.87,26.78,15.63,22.44,12.41,10.88,16.26,14.75,15.83
Healthy soybean,74,24.23,210.29,88.56,52.83,88.56,20.62,50.15,18.18,399.7,38.93,16.79,75.03,23.62,19.15,25.54,17.39,7.36,12.11,16.93,13.16
Healthy soybean,77.16,40.5,212.5,67.08,77.2,67.08,17.95,33.48,18.82,297.76,21.69,9.33,68.91,20.91,19.85,25.65,14.59,3.6,12.48,22.59,19.8
Healthy soybean,63.79,37.97,162.79,91.37,96.47,91.37,21.62,58.3,22.73,395,38.86,8.99,96.87,26.45,15.92,30.55,11.44,6.31,9.94,20.06,16.9
Healthy soybean,81,35.06,152.48,84.74,79.48,84.74,19.54,30.05,25.98,285.08,46.07,8.48,83.23,26.28,19.55,21.96,13.09,7.11,17.16,23.7,16.72
Healthy soybean,80.23,27.2,212.65,58.48,76.92,58.48,13.1,45.03,26.16,331.36,50.39,7.1,63.53,26.37,19.76,28.75,17.64,6.54,17.4,17.87,13.84
Healthy soybean,95.87,22.81,171.35,76.11,92.25,76.11,16.3,58.1,20.93,407.37,24,7.9,99.9,21.2,14.26,25.67,14.89,9.16,11.47,20.7,20.64
Healthy soybean,83.94,28.1,231.14,84.49,72.51,84.49,15.04,50.42,20.84,382,28.43,7.58,91.07,23.17,12.62,29.74,15.07,6.48,17.1,21.3,13.67
Healthy soybean,79.42,25.24,189.55,84.77,82.8,84.77,13.69,58.61,23.77,235.49,37.65,12.37,63.26,28.23,19.13,28.22,16.76,1.29,13.33,16.33,19.74
Healthy soybean,102.23,40.43,181.77,70.85,66.73,70.85,18.33,48.69,22.5,246.29,36.17,16.16,92.21,26.36,15,24.13,20.85,2.57,14.31,16.82,12.59
Healthy soybean,62.07,24.99,206.76,69,67.34,69,20.05,56.51,24.42,380.51,48.2,10.74,54.86,21.92,13.41,21.98,13.04,4.06,18.81,18.61,19.24
Healthy soybean,80.17,32.04,148.05,56.04,55.68,56.04,16.65,38.49,23.43,262.87,48.87,11.24,74.01,24.84,20.39,26.2,11.21,4.55,17.74,22.79,13.36
Healthy soybean,87.07,27.28,142.8,53.51,75.08,53.51,14.78,59.91,18.62,252.78,30.67,7.3,86.28,27.62,16.34,29.51,15.83,6.91,11.41,23.61,13.76
Healthy soybean,49.16,23.27,237,71.86,61.98,71.86,14.96,39.49,20.92,268.03,44.85,15.05,93.35,26.73,13.59,28.56,13.87,8.35,15.54,17.51,15.11
Healthy soybean,80.71,40.66,180.86,57.23,97.17,57.23,18.37,50.06,23.12,235.15,28.23,7.01,62.98,28.39,15.77,24.39,15.44,8.17,12.02,14.86,19.01
Healthy soybean,74.73,38.05,231.87,93.48,96.8,93.48,19.67,46.74,23.47,358.8,49.31,11.56,93.81,24.95,11.83,21.8,20.25,1.28,16.53,21.49,15.82
Healthy soybean,71.62,29.4,174.42,95.45,74.31,95.45,18.76,31.3,23.41,405.1,43.51,11.2,89.72,22.93,16.42,27.14,20.27,5.69,17.06,23.86,11.78
Healthy soybean,83.85,29.89,226,98.2,52.28,98.2,19.31,49.21,23.23,317,39.58,15.9,80.44,29.12,16.97,21.73,15.51,5.9,10.18,15.79,11.35
Healthy soybean,76.85,29.96,227.12,55.02,94.6,55.02,13.59,34.05,27.35,266,43.69,11.01,85.87,29.8,13.46,30.52,17.81,10.59,12.84,22.42,18.69
Healthy soybean,70.31,37.01,225.76,55.91,62.13,55.91,22.51,42.25,27.26,262,24.26,10.2,99.2,23.23,18.96,26.7,19.61,8.33,17.02,17.71,16.2
Healthy soybean,70.9,27.65,157.21,60.2,57.5,60.2,14.99,51.47,24.05,295.61,33.63,14.51,51.78,28,12.7,26.4,13.82,7.59,15.88,19.59,14.61
Healthy soybean,93.08,27.64,155.36,60.28,94.92,60.28,15.44,48.48,27.62,364.7,43.77,10.27,83.56,24.14,20.79,23.93,16.79,1.51,12.86,23.65,13.78
Healthy soybean,84.54,40.52,140.24,59.74,76.05,59.74,13.23,57.83,24.03,289.38,28.09,14.6,66.83,28.08,15.01,27.15,15.86,8.12,13.88,22.15,13.6
Healthy soybean,101.05,24.77,198,86.4,93.57,86.4,18.45,51.94,19.45,272.69,50.58,16.95,61.07,23.2,18.83,21.4,17.07,7.33,16.04,16.61,17.08
Healthy soybean,61.52,25.42,179.7,89.03,58.48,89.03,13.16,58.72,23.48,219.22,39,16.15,59.91,26.99,13.81,22.8,16.64,2.37,11.37,22.12,12.94
Healthy soybean,79.48,30.47,145.31,91.3,59.03,91.3,17.96,44.9,27.4,237,24.48,16.75,89.56,25.68,12.91,28.28,20.05,4.65,14.67,17.22,13.21
Healthy soybean,104.49,26.16,173.02,97.29,53.89,97.29,19.98,46.64,21.52,224.59,28.66,12.15,69.38,22.73,11.27,29.04,18.36,2.75,15.93,22.88,12.33
Healthy soybean,63.48,27.71,228.28,90.04,94,90.04,14.36,36,20.17,292.36,21.13,9.99,68.87,24.36,20.69,30.2,14.42,10.48,18.01,21.07,12.46
Healthy soybean,63.09,27.84,230.37,85.72,73.23,85.72,14.71,38.05,27.08,233.76,44,10.82,55.37,23.43,18.49,27.35,16.56,8.62,13.05,15.41,16.14
Healthy soybean,91.69,40.42,162.88,59.15,63.96,59.15,15.79,41.78,22.93,297.58,41.61,7.07,81.84,27.44,12.71,21.58,15.43,5.34,14.8,15.63,17.23
Healthy soybean,55,30.89,144.88,91.35,60,91.35,15.08,47.73,24.45,409.62,24.36,14.84,50.61,26.22,12.88,27.96,17.62,10.89,14,15.51,11.13
Healthy soybean,95,34.18,159.78,95.82,90.76,95.82,20.39,37.66,26.52,360.84,41.24,16.29,51.03,29.09,14.98,26.32,20.88,2.02,13.86,22.64,11.12
Healthy soybean,79.87,39.38,170.53,83.61,82,83.61,17.26,47.79,19.72,237.36,21.35,7.57,72,21.5,14.95,26.69,12.75,7.91,14.1,22.87,18.22
Healthy soybean,60.69,33.04,184.4,63.78,91.83,63.78,22.27,43.59,26,298.22,40.54,14.97,74.34,26.41,12.63,23.79,14.39,9.33,10.63,15.61,14.95
Healthy soybean,100.88,26.99,159.8,97.34,74,97.34,14.68,44.69,25.02,393.57,20,11.43,70.58,25.21,20.74,24.1,17.43,7.95,16.15,18.58,17.25
Healthy soybean,104.36,28.05,214.95,86.28,81.94,86.28,21.15,53.18,19.71,391.97,46.41,7.48,84.32,24.29,15.32,23.91,18.52,2.08,13.49,16.77,17.85
Healthy soybean,93.58,22.94,223.76,63.46,88.4,63.46,19.68,30.76,25.36,363.96,28,10.09,68.88,24.93,11.67,21.57,19.64,10.61,14.65,17.5,19.64
Healthy soybean,106.28,37.5,239.49,94.35,80.24,94.35,18.39,34.27,20.08,295.21,27.74,12.55,89.99,20.52,14.55,30.36,11.78,3.7,15.98,21.24,12.8
Healthy soybean,92.45,26.77,190.27,55.54,80.09,55.54,19.21,35.3,19.94,298.57,42,12.64,65.85,26.31,20.49,21.59,13.62,10.06,16.66,22.82,19.54
Healthy soybean,106.63,34.01,222.23,61.6,81.39,61.6,18.05,45.79,27.59,333.95,50.77,16.86,62.12,29.14,17.72,30.87,12.76,8.66,16.28,14.5,19.46
Healthy soybean,101.65,27.16,216.56,62.3,50.37,62.3,20.53,47.42,22.63,227.54,46.91,9.1,78.89,25.7,11.92,24.87,18.01,4.29,14.76,16.38,19.85
Healthy soybean,98.22,32.26,179.82,64.82,63.92,64.82,20.88,33.53,21.82,297,47.8,9.04,85.43,20.18,18.2,27.84,16.87,7.3,15.05,20.08,13.17
Healthy soybean,83.49,22.82,149.92,55.47,54.95,55.47,13.15,47.83,18.47,323.84,47.7,7.68,95.26,26.07,15.66,28.19,15.77,2.47,18.4,16.7,17.19
Healthy soybean,84.79,35.89,195.79,95.54,59.29,95.54,14.14,52.67,24.79,228.11,40.12,10.34,57.05,26.17,17.22,22.8,17.69,10.6,12.49,16.98,16.09
Healthy soybean,74.99,38.18,225.56,66.06,58.6,66.06,15.65,54.57,26.11,315.1,39.41,14.04,90,28.13,18.35,21.5,18,2.89,13.5,16.73,13.68
Healthy soybean,73.74,32.61,152.13,63.84,72.64,63.84,22.62,49.61,19.36,261.24,36.21,12.96,85.25,29.2,18.07,23.61,11.64,6.33,18.16,18.75,11.32
Healthy soybean,105.62,39.3,209.29,89.08,61.7,89.08,22.79,38.67,18.37,320.65,47.69,7.86,82.82,29.38,16.91,30.21,20.41,10.25,14.45,21.96,19.56
Healthy soybean,73.04,22.08,171.95,98.95,83.44,98.95,13.4,59.5,20.5,248.01,37,10.4,75.36,27.33,14.01,23.62,18.27,4.77,14.95,15.5,11.87
Healthy soybean,87.62,39.91,218.17,96.71,93.17,96.71,14.56,41.67,19.62,269,43.62,10.01,87.78,25.3,11.65,22.48,15.31,6.59,17.12,18.24,20.89
Healthy soybean,104.84,24.63,149.65,91.99,87.37,91.99,16.33,55.44,20.68,362.01,30.27,11.99,95.78,25.13,12.67,30.14,19.29,10.26,14.33,23.62,13.61
Healthy soybean,44.03,23.92,169.88,86.81,73.25,86.81,13.67,42.04,24.19,270,38.04,12.02,72.32,25.41,11.58,28.33,20.08,7.49,9.78,15.98,14.43
Healthy soybean,108.57,33.61,155,78.89,82.49,78.89,21.02,49.3,27.36,359.08,35.24,11.8,55,23.95,15.07,22.35,15.11,3.07,12.5,17.04,17.42
Healthy soybean,55.54,24.24,214.5,51.24,59.83,51.24,15.16,37.76,23.86,356.27,47.25,15.67,82.15,23.37,16.87,25.73,12.03,1.7,12.28,16.78,13.4
Healthy soybean,41.13,35.15,146.17,90.15,77.81,90.15,22.04,48.51,18.93,392,32.59,9.59,98.48,21.07,20.12,23.88,15.74,6.85,9.55,16.15,19.75
Healthy soybean,52.52,38,212.24,72.83,73.48,72.83,14.01,59.48,22.06,233.35,21.46,11.37,75.07,25.03,14.22,28.53,14.95,8.96,12.62,15.97,14.51
Healthy soybean,52.45,26.45,234.09,68.76,74.22,68.76,15.33,57.7,20.3,386.81,32.23,9.17,82.49,24.27,11.07,29.52,17.08,5.01,11.57,22.7,12.7
Healthy soybean,82.64,26.15,193.73,75.9,87.39,75.9,20.67,50.71,21.94,320.71,50.89,10.42,65.89,24.74,12.51,22.16,15.81,7.29,16.95,20.29,20.96
Healthy soybean,98.81,24.36,225.33,64,81.71,64,17.35,49.39,25.74,356,39.27,14.66,89.32,25.98,12.07,27.85,12.47,9.87,9.89,23.42,15.6
Healthy soybean,40.4,27.79,206.66,91.53,92.68,91.53,17.55,36.43,19.34,245.05,23.51,10.29,70.62,29.06,20.77,28.29,20.75,4.73,18.64,21.18,13.71
Healthy soybean,98.15,25.81,189.88,66.76,91.7,66.76,18.59,54.83,18.99,385.49,33.98,13.84,61,26.54,17.73,26.37,12.11,7,15.06,24.03,19.78
Healthy soybean,79.38,34.71,224.41,58.39,95.09,58.39,21.76,41.33,27.68,370.17,27.21,9.22,75.28,23.85,19.79,22.61,18.13,6.5,17.95,23.19,17.96
Healthy soybean,64.75,30.58,170.9,78.05,79.84,78.05,17.27,50.12,23.76,369,25.53,10.13,76.07,29.18,13.84,21.87,17.88,6.61,11.13,22.18,11.15
Healthy soybean,48.61,40.37,179.31,69.49,76.81,69.49,20.11,30.99,24.27,229.61,45.68,16.84,59.02,25.9,19.74,23.41,18.91,5.15,9.29,20.78,12.75
Healthy soybean,61.6,32,187.1,78.24,58.38,78.24,21.08,53.5,20.63,250.44,25.16,15.93,59.62,28.09,18.57,27.62,19.08,7.84,16.99,16.89,20.99
Healthy soybean,70.18,37.14,227.65,82.06,83.26,82.06,22.26,57.86,21.36,382.86,44.78,11.65,71,22.97,14.08,26.67,14.06,4.15,15.89,18.17,16.75
Healthy soybean,82.75,30.41,154.68,50.68,56.57,50.68,20.92,42.17,26.6,241,22.62,8.1,94.28,28.61,18.25,27.26,12.42,6.64,18.12,16.72,16.05
Healthy soybean,76,23.98,148.89,86.03,98.46,86.03,22.71,43.17,20.74,367.49,21.87,16.77,74,23.61,11.93,29.81,19.94,3.68,12.53,20.8,14.01
Healthy soybean,66.05,35.29,203.6,71,69.58,71,20.72,57.68,22.34,382.79,38.85,10.21,52.4,26.76,16.83,25.17,14.33,9.71,18.05,22.85,17.7
Healthy soybean,72.09,40.99,222.72,97.2,75,97.2,19.48,49.45,23.66,226.55,33.78,12.6,85.55,25.52,16.74,22.89,13.94,5.39,15.31,16.53,11.1
Healthy soybean,40.78,27.27,150.09,96.81,66.32,96.81,15.18,31.51,23.65,388.05,21.23,14.77,80.6,22.19,14.39,21.69,19.34,5.89,10.94,23.28,20.02
Healthy soybean,108.01,36.44,184.64,62.98,69.34,62.98,16.69,54.34,18.19,400,31.15,15.71,84.77,24.16,17.42,26.7,18.24,1.24,12.05,23.95,14.82
Healthy soybean,66.19,37.95,160,91.82,65.96,91.82,19.06,54.39,21.14,318.97,47.92,10.8,53.96,26.96,19.39,28.51,20.83,9.39,9.88,18.39,14.62
Healthy soybean,90.49,32.47,158.79,72.29,99.23,72.29,19.83,46.33,20.15,227,31.44,10.36,84.74,28.55,17.15,23.83,15.46,1.08,10.82,15.92,18.5
Healthy soybean,106.71,37.9,161.29,70.98,53.57,70.98,19.09,52.95,26.45,260,22.89,10.11,55.24,27.35,12.34,23.28,11.61,8.2,11.3,23.77,18.1
Healthy soybean,53.18,39.36,219,98.61,70.39,98.61,18.32,42.21,21.96,324.45,34.83,12.05,74.77,28.26,19.4,27.24,16.08,7.09,11.17,15.08,18.46
Healthy soybean,106.9,39.24,186.83,98.97,61,98.97,13.41,48,18.51,244.56,22.54,15.79,66,23.09,19.24,24.22,17.57,2.34,16.45,21.72,14.46
Healthy soybean,90.39,27.8,208.98,61.95,81.84,61.95,15.2,58.69,25.53,354.11,29.86,14.59,85.71,22.58,19.57,26.71,12.43,8.14,11.8,18.32,20.29
Healthy soybean,59.25,36.97,188.29,81.15,93.41,81.15,21.33,45.02,24.02,210.45,36.66,16.96,57.42,23.02,18.32,23.69,15.15,4.47,14.11,15.66,13.92
Healthy soybean,73.72,34.67,200.54,59.53,97.47,59.53,18.17,55.52,23.58,306.38,37.01,13.79,93.76,24.61,16.3,22.43,20.35,9.51,16.92,16.09,16.96
Healthy soybean,63.38,29.02,148.77,92.02,86.14,92.02,21.22,30.71,24.07,303.02,26.3,12.26,56.59,24.39,20.62,29.91,19.93,6.89,17.64,17.42,12.65
Healthy soybean,102.41,29.55,190,86,58.75,86,22.99,59.55,24.65,319.53,30.43,16.88,85.2,22.48,14.06,30.18,15.21,11,9.46,19.91,12.07
Healthy soybean,81.43,40.55,217.16,51.11,58.95,51.11,19.73,30.74,21.89,290.8,47.44,9.88,83.4,23.51,18.36,22.91,19.06,6.49,12.33,23.46,17.68
Healthy soybean,72.51,34.6,183.91,78.03,63.87,78.03,14.93,48.46,19.51,265.71,42.89,8.36,87.01,23.1,20.91,26.62,12.92,6.39,13.78,15.84,14.34
Healthy soybean,59.21,32.85,143.22,72.84,88.25,72.84,16.71,56.58,19.95,292.45,32.87,7.67,91.91,26.42,18.27,26.42,19.59,9.37,16.88,18.82,14.22
Healthy soybean,69.18,26.57,205.26,96.36,50.61,96.36,16.55,57.39,27.22,278.76,49.48,8.41,81.8,29.15,12.4,22.29,17.27,3.88,18.14,17.19,11.41
Healthy soybean,60.66,35.48,172.92,56.51,78.98,56.51,20.94,33.17,21.46,289.95,26.72,8.96,88.24,28.25,14.4,24.62,18.84,7.76,17.17,23.29,18.21
Healthy soybean,83.09,35.35,144.41,87.06,89.91,87.06,21.98,34.76,25.85,268.31,40.93,16.63,78.94,23.56,12.02,23.9,13.05,7.69,11.4,17.3,17.31
Healthy soybean,64.86,27.24,180,55.09,96.66,55.09,15.52,48.43,23.79,239.75,36.84,14.69,59.05,21.47,20.2,30.65,12.26,9.11,9.69,17.01,16.68
Healthy soybean,98,25.97,186.82,56.73,88.48,56.73,18.49,45.97,27.12,406.63,46.08,12.12,76.59,21.78,17.05,27.5,15.01,7.34,14.13,21.89,19.7
Healthy soybean,105.99,24.07,160.75,96.67,59.72,96.67,22.58,36.62,23.08,409.26,38.73,9.63,67,29.47,13.71,22.86,15.06,8.56,11.76,15.34,12.38
Healthy soybean,86.09,23.47,211.96,61.2,73.42,61.2,22.91,55.34,19.22,383.35,40.15,9.53,97.52,27,16.26,21.82,20.53,2.21,18.17,14.84,14.56
Healthy soybean,61.5,34.04,169.7,63.63,66.44,63.63,14.55,47.02,20.28,236.75,42.14,16.69,70,27.85,12.05,23.31,16.75,1.68,17.54,14.33,15.54
Healthy soybean,67.25,34.91,234.24,68.07,87,68.07,15.31,51.91,18.28,406.76,29.09,11.29,64.26,26.77,16.95,22.52,14.66,4.57,14.43,21.38,19.19
Healthy soybean,94.06,33.58,173.68,96,84,96,14.04,44.34,21.39,356.74,38.83,9.7,77.04,20.74,12.76,26.31,13.48,5.62,17.73,21.98,20.37
Healthy soybean,45.1,23.76,235.42,70.95,81.05,70.95,20.23,37.64,18.21,296.34,47,13.03,87.39,24.71,12.86,30.24,16.91,5.95,15.56,20.12,16.87
Healthy soybean,93.67,22.37,184,53.21,58.37,53.21,14,36.2,27.87,366,31.17,14.36,55.02,27.77,12.1,28.6,12.5,1.05,15.27,21.86,14.58
Healthy soybean,104.1,32.86,216.38,73.45,72.11,73.45,20.22,51.66,25.01,367,43.17,14.94,52.73,26.48,12.46,29.02,13.61,7.14,12.81,15.38,17.66
Healthy soybean,108,32.66,150.29,90.38,56,90.38,19.97,46.63,24.93,291.44,29.28,14.35,98.81,25.87,17.91,26.57,20.21,1.53,18.63,19.89,14.79
Healthy soybean,53.47,31.24,161.71,67.66,79.42,67.66,17.53,32.65,22.36,271.35,25.68,10.47,65.13,28.29,12.19,26.61,16.07,5.05,11.79,16.68,16.97
Healthy soybean,73.54,34.39,155.16,63.93,86.68,63.93,17.59,56.11,21.63,286.04,41.48,8.42,71.68,22.46,20.26,28.49,12.07,8.59,18.57,22.67,14.18
Healthy soybean,100.19,25.15,237.76,98.14,79.22,98.14,20.89,50.13,24.63,245.98,28.17,8.68,99.03,22.79,11.55,24.26,11.08,3.27,18.76,15.03,12.89
Healthy soybean,41.12,22.86,194.47,72.28,80.92,72.28,16.34,36.91,24.2,256.37,20.62,13.56,95.04,24.02,16.93,28.45,19.04,6.76,17.22,18.6,14.07
Healthy soybean,81.22,26.03,231.03,88.28,60.17,88.28,16.66,38.1,22.2,365.72,23.63,13.04,96.47,20.77,17.71,23.42,17.15,9.3,18.39,19.66,18.13
Healthy soybean,54.38,25.75,155.65,66.61,50.28,66.61,14.03,49.63,21.01,219.57,46.88,12.74,75.18,28.91,20.73,28.82,17.33,3.51,11.51,20.13,18.39
Healthy soybean,52.85,22.1,204.37,72.19,82.92,72.19,22.31,46.61,27.05,218.57,24.64,14.45,54.07,21.23,15.16,25.37,18.55,6.05,16.69,16.05,16.44
Healthy soybean,89,35.04,158,69.93,78.11,69.93,16.27,38.59,22.95,368.88,24.13,15.49,71.86,23.4,11.87,26.82,20.57,3.87,10.88,18.48,19.31
Healthy soybean,75.5,39.78,173.99,97.14,84.87,97.14,19.89,40.98,24.44,389.52,34.47,8.45,53.99,28.71,19.48,25.66,13.84,4.59,12.43,15.9,19.11
Healthy soybean,88.2,28.28,227.08,56.19,85.61,56.19,15.32,43.26,26.94,249.45,43.13,11.83,62.61,21,12,21.71,16.97,4.09,11.09,14.34,16.8
Healthy soybean,50.93,39.9,179.53,55.24,87.2,55.24,18.35,48.32,26.1,406.44,46.35,16.8,51.89,22.14,11.02,25.63,15.45,3.12,15.53,21.53,11.4
Healthy soybean,42.81,37.84,192.15,63.53,90.48,63.53,14.35,55.87,25.15,236.62,24.52,7.59,61.39,28.78,16.68,28.13,19.91,2.53,17.98,18.91,18.24
Healthy soybean,93.74,24.2,146.58,59.48,84.88,59.48,22.07,59.68,24.75,351.8,33.99,8.51,68.76,22.85,14.92,22.78,13.35,7.78,15.32,22.26,12.45
Healthy soybean,42,26.13,155.1,67.48,79.18,67.48,21.38,57.9,18.58,347.46,25.33,13.83,85,29.76,15.33,30.76,20.72,8.44,16.97,23.09,18.54
Healthy soybean,70.63,24.51,237.13,61.39,94.71,61.39,19.04,39.53,27.69,216.4,35.33,12.65,96.67,28.02,18.52,28.72,11.25,6.97,13.54,17.73,16.41
Healthy soybean,92,32.97,230.79,66.69,82.88,66.69,15.53,38.22,25.47,328.4,47.29,11.98,74.75,23.07,15.17,23.94,19.07,5.55,10.68,14.57,18.68
Healthy soybean,94.07,39.39,209.48,61.67,52.84,61.67,20.95,36.98,25.62,325.25,32.44,7.71,51.71,26.61,15.06,21.46,13.77,3.64,17.46,20.1,12.71
Healthy soybean,102.63,37.11,192.86,80.77,86.47,80.77,21.82,47.96,24.25,271,45.62,9.27,95.29,25.88,20.9,27.77,15.89,9.09,13.94,21.31,17.95
Healthy soybean,80.81,31.55,142.57,52.48,70.68,52.48,18.53,51.3,26.88,307.32,30.94,9.97,92.02,24.43,13.76,27.73,13.96,5.74,10.79,18.64,11.05
Healthy soybean,69.07,37.13,163.35,86.27,64.93,86.27,22,54,26.26,393.7,28.7,16.97,94,25.31,14.26,22.32,20.02,8.34,17.79,17.97,15.52
Healthy soybean,100.65,26.66,204,64.24,68.55,64.24,17.36,58,25.52,352.62,40.74,12.79,72.28,23.38,18.77,27.27,14.46,3.76,12.14,18.96,14.44
Healthy soybean,91.26,24.85,165.71,84.65,53.82,84.65,17.48,58.15,19.76,385.55,26.41,16.39,96.69,27.26,16,29.49,16.31,10.16,10.17,23.32,15
Healthy soybean,62.04,37.4,165.63,99.97,69.52,99.97,13.73,39.25,18.96,388.98,21.65,16.02,60.03,22.12,19.47,29.16,17.11,3.45,11.06,23.82,20.95
Healthy soybean,82.61,33.35,176.59,50.79,85.56,50.79,20.52,45.85,20.89,306.79,31.21,9.02,70.76,25.11,17.01,29.5,11.07,6.21,10.97,17.62,18.45
Healthy soybean,44.02,38.75,210.01,96.47,85.71,96.47,21.43,46.27,18.5,300.38,44.5,15.17,66.53,25.94,15.6,30.6,13.69,6.19,18.77,18.29,12.69
Healthy soybean,99.09,32.82,218,55.22,76.02,55.22,18.87,55.8,20.01,373.04,35.31,16.14,90.22,25.38,20.19,24.35,20.09,9.41,18.87,16.96,17.81
Healthy soybean,78.23,32.58,150.39,52.4,98.78,52.4,15.05,54.46,24.96,256.68,23.5,8.06,65,21.62,13.57,22,20.54,8.76,9.41,15.16,17.71
Healthy soybean,63,38.46,188,58.89,90.56,58.89,22.03,43.72,23.59,225.23,37.52,13.58,88,28.36,14.49,23.68,17.49,9,9.96,22.57,20.45
Healthy soybean,64.61,25.73,202.22,63.68,71.77,63.68,17.2,33.28,22.59,270.71,36.73,16.71,71.18,25.53,15.94,27.64,16.95,1.76,18.47,20.86,13.19
Healthy soybean,92.53,32.46,232.26,72.32,66.74,72.32,20.08,58.75,26.31,277,21.19,14.5,61.61,21.45,17.41,21.12,14.77,7.26,17.57,17.32,19.18
Healthy soybean,42.84,25.28,172,60.03,97.08,60.03,19.26,55.79,26.53,362.59,29.35,10.59,67.03,21.3,18.04,30.39,16.05,7.8,9.35,23.67,18.94
Healthy soybean,50.34,31.26,215,98.41,88.71,98.41,17.79,51.34,21.45,337.65,37.81,16.53,53.14,29.83,20.72,27.28,14.02,9.93,15.96,21.85,17.26
Healthy soybean,102.14,38.72,216.85,70.02,90.06,70.02,15.56,53.97,20.02,393.68,44.22,11.46,68.21,24.89,20.53,24.2,20.23,5.41,9.59,19.51,18.19
Healthy soybean,50.86,23.64,168.94,53.16,50.67,53.16,17.13,47.88,22.85,350.39,38.59,9.81,82.41,23.9,14.44,29.36,20.38,1.44,13.97,19.49,18.52
Healthy soybean,72.69,31.72,190.24,74.22,64.96,74.22,16.26,46.02,20.34,397,41.59,7.41,70.21,29.62,20.4,29.19,16.4,4.44,14.94,19.73,16
Healthy soybean,93.55,35.22,183.94,70.76,61.28,70.76,17.91,55.95,25.22,324,42.02,11.9,51.55,25.18,15.36,25.28,13.39,4.75,13.66,23.36,13.9
