,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,37.04,13.37,116.48,10.25,25.26,24.72,5.66,20,16.81,153.17,10.21,20.31,40.25,14.12,6.24,18.07,4.83,41.88,88.02,13.13,3.19
Infection plant,36.87,21.31,92.54,47.83,27.67,16.36,12.82,24.42,9.79,176.5,10.53,18.36,37.96,19.27,10.86,19.02,3.8,87.4,53,4.46,1.22
Infection plant,36.66,18.47,95.44,19.4,37.19,25.76,10.86,21.02,8.21,184.66,8.94,26.23,44.87,17.85,4.62,18.05,3.25,93.84,31.44,7.85,10.01
Infection plant,30.4,12.3,130.86,41.92,48.76,21.6,3,14.09,12.62,124.64,11.56,17.36,39.73,10.24,9.49,15.11,8.91,55.83,22.06,11.95,3.02
Infection plant,37.12,13.94,120,48.41,20.57,25.43,9.02,22.65,15.99,195,10.81,21.61,11.76,12.6,9.02,19.54,1.76,59.09,89.97,5.19,7.63
Infection plant,33.85,15.89,87.77,17.06,36.68,21.46,8.68,17.91,11.48,195.6,9.54,17.72,13.67,11.57,10.53,13.88,3.99,40,48,12.13,1.62
Infection plant,38.72,21.7,127.74,14.52,34.02,18.81,11.67,16.42,13.23,189.49,16.88,23.06,38.95,19.57,8.4,19.01,7.01,31.32,69.84,5.88,2.74
Infection plant,38.9,16.88,128.14,44.69,32.26,24.66,6.92,18.35,9.47,166.79,8.08,17.04,14.59,19.81,1.95,11.35,6.24,40.06,71.12,13.45,6.46
Infection plant,30.13,19.74,104.68,29.46,33.98,23.77,7.79,27.61,13.52,166.22,15.84,18.29,44.14,15.02,6.95,14.12,6.59,75.6,54.38,6.21,5.8
Infection plant,32.57,13.51,136.2,12.05,47.07,21.06,8.23,28.7,12.58,165.8,9.64,20.67,32.79,14.67,6.63,16.65,5.62,44.42,82.5,8.72,6.14
Infection plant,31.11,18.9,97.81,29.49,35.48,19.67,5.12,15.7,9.78,187.9,17.31,18.85,30.88,17.01,4.4,18.9,9.55,55.42,76.99,6,4.8
Infection plant,37.73,12.01,102.45,25.13,48.48,19.69,3.4,20.93,13.13,191.29,18.21,24.1,46.56,17.98,9.59,20.18,5.27,74.31,55.98,9.83,9.79
Infection plant,38.47,15.31,136.97,45.48,49.8,25.19,11.49,28.71,13.42,157.09,19.92,22.77,46.51,19.97,7.09,20.5,8.4,71.34,28.94,8.73,3.63
Infection plant,32.1,15.43,133.21,19.08,25.16,16.58,4.27,19.77,13.25,140.32,9.25,26.32,16.54,19.75,10.94,12.5,2.56,56.16,54.94,13.01,1.86
Infection plant,35.15,16.78,89.14,30,24,18.75,9.88,14.75,11.67,159.35,18.63,22.27,22.19,14.94,2.72,12.52,7.7,89.94,44.23,9.63,1.13
Infection plant,37.19,19.07,99.09,26.6,44.87,24.7,5.25,22.41,14.76,152.8,17.48,17.87,34.02,19.56,10.22,18.85,8.82,69.23,62.66,10.93,10.77
Infection plant,38.12,15.33,132.16,18.37,29.19,19.74,9.05,26.41,15.71,139.4,14.55,26.47,40.71,19.34,10.01,12.16,10.79,60.89,54.73,7.03,7.94
Infection plant,34.95,19.11,121.85,42.62,43.2,19.02,4.51,29.46,8.63,194.91,11.16,25.06,39.04,18.57,2.3,11.99,2.96,55.25,54.2,9.86,9.07
Infection plant,34.75,19.08,112.67,42.57,26.26,22.37,12.26,29.93,8.16,153.78,12.19,22.04,44.61,19.86,2.31,14.71,5.31,59.3,70,9.77,4.2
Infection plant,33.25,15.09,139.61,42.93,29.31,23.62,6.28,15.79,15.67,188.16,8.44,20.6,44.24,11.85,3.91,12.71,8.3,57.01,63.07,7.83,2.08
Infection plant,31.66,17.07,128.71,48.76,33.37,18.21,7.59,24.59,10.1,167.79,16.66,17.35,45.43,19.25,9.58,15.96,3.23,54.72,89.56,10.19,1.12
Infection plant,36.31,15.82,127.7,49.34,41.8,21.47,7.49,17.04,17.26,205.81,11.7,17.3,19.7,18.9,9.96,19.85,9.09,80.62,61.52,4.35,10.67
Infection plant,37.64,21.63,96.71,38.98,23,18.58,3.8,18.21,13.95,172.9,9.01,21.31,49.84,14.37,9.16,11.19,6.48,36.98,23.86,6.88,6.09
Infection plant,31.93,13.17,117.89,42.94,30.77,21.85,10.75,29.24,11.63,119.84,8.62,25.19,28.13,12.24,10.05,13.22,5.09,93.72,57,4.87,6.11
Infection plant,36.8,14.88,122.08,47.02,31.54,19.36,9.82,14.15,15.25,132.8,12.33,25.53,45.06,10.32,9.44,18.78,2.77,58.14,32.29,11.46,7.16
Infection plant,33.78,15.35,93.59,13.68,45.29,21.21,8.65,19.28,17.53,137.55,8.37,21.2,24.38,10.87,6.71,15.4,5.37,48,67.89,4.15,10.24
Infection plant,36.71,12.83,111.3,38.8,34.23,25.95,11.68,28.9,17.23,159.74,8.93,20.01,32.69,14.93,2.61,15.25,4.74,56.76,29.25,13.35,9.35
Infection plant,38.25,17.9,87.42,17.39,28.85,17.2,11.53,27.48,13.84,198,14.42,26.46,26.79,18.54,4.88,13.46,3.59,21.32,65.24,11.76,4.07
Infection plant,32.85,16.99,129.43,39.36,49.65,19.77,3.96,22.88,8.74,127.17,16.73,18.61,36.64,16.37,8.13,17.59,10.23,97.01,74.86,8.65,7.97
Infection plant,37.48,17.45,94.24,35.35,25.78,24.26,4.44,22.7,17.93,148.45,15.53,26.86,12.4,16.11,10.88,15.42,7.75,55.48,94,8.7,5.07
Infection plant,37.7,16.12,124.57,28.51,38.02,25.75,9.48,17.66,15.72,166.95,14.8,21.63,18.85,13.88,6.14,14.76,6.77,59.25,54.62,6.82,2.32
Infection plant,31.06,19.34,82.74,12.75,49.48,22.08,9.61,26.46,17.62,156.89,17.04,19.22,20.17,14.88,9.14,11.66,10.5,38.67,47.23,6.74,3.07
Infection plant,39.81,14.21,94,43.55,20.81,21.95,8.11,28.77,9.87,194.02,9.56,17.78,38.27,14.87,6.81,14.77,4.19,94.91,51.35,7.97,5.13
Infection plant,39.72,18.8,119.41,24.29,34.25,20.82,4.65,23.65,9.97,114.6,9.88,18.27,22.5,15.55,7.87,14.69,8.23,51.63,78,7.22,7.58
Infection plant,36.04,15.4,88.47,33.01,44.59,24.31,9.52,17.83,11.49,155.68,15.44,17.53,29.83,13.3,2.95,20.78,4.18,79.42,84.4,6.3,2.04
Infection plant,31.62,14.69,101.51,38.97,41.93,19.65,11.74,14.37,16.87,145.75,11.81,25.8,16.22,12.54,2.22,13.98,8.14,94.08,92.95,10.79,1.41
Infection plant,36,13.48,114.98,35.75,31.31,23.34,5.81,15.95,16.02,203.31,13.32,17.68,36.41,12.8,8.68,12.58,8.1,14.82,22.75,8.46,6.07
Infection plant,33.3,13.85,85.94,29.79,47.32,20.07,8.29,25.01,16.99,138.09,13.28,21.01,27.53,19.84,10.79,13.9,7.98,76,54.84,9.28,5.05
Infection plant,32.25,13.33,136.7,47.39,27.4,17.59,7.91,22.6,16.44,203,11.46,24.72,27.71,17.18,2.33,11.46,6.67,14,32.16,6.26,3.25
Infection plant,36.06,17.38,138.57,40,35.83,16.17,7.28,17.22,8.27,153.42,13.2,17.63,47.4,11.18,9.2,13.77,4.62,28.04,51.57,10.72,2.93
Infection plant,39.02,12.57,128.29,17.93,47.67,17.48,11.5,22.29,16,151,16.67,23.29,16.62,18.36,7.95,16.33,7.22,56.55,32.49,12.88,1.11
Infection plant,33.48,12.89,121,18.57,32.2,24.38,5.29,19.22,16.15,113.56,9.82,25.33,27.79,16.32,8.5,13.5,3.39,78.18,88.03,8.1,3.48
Infection plant,35.85,16.41,92.34,12.72,40.96,16.59,10.22,22.82,13.19,130.29,13.03,23.94,41.76,19,6.51,17.88,8.9,16.17,54.65,9.48,4.02
Infection plant,33.54,14.29,125.86,42.1,34.91,18.66,8.42,21.38,13.54,208.45,12.3,20.37,38.39,13.39,6.7,11.61,6.83,86.5,60.02,9.64,7.55
Infection plant,34.11,20.53,138.29,42,29.59,21.23,7.51,14.9,8.31,151.15,14.51,17.65,12.41,13.34,1.29,19.96,2.22,25,84.17,7.79,2.72
Infection plant,31.17,17.95,123.86,37.3,35.77,20.76,4.79,27.52,8.91,153.82,17.09,25,21.53,10.66,3.21,11.55,4.96,91.32,98,7.05,1.77
Infection plant,34.15,17.05,91.24,35.9,32.51,22.22,4.17,26.66,17.68,150.3,17.99,19.63,40.3,11.31,3.99,17.52,10.01,55.96,43.84,7.28,9.73
Infection plant,35.39,18.02,93.22,25.5,37.11,16.88,5.91,24.79,13.7,187.21,9.33,18.91,11.19,14.19,10.31,17.21,4.46,63.81,22.49,11.16,5.97
Infection plant,33.69,14.78,133.16,44.24,26.34,18.51,7.93,15.15,10.44,168.03,8.74,26.64,16.78,18.39,7.13,16.22,10.27,84.05,37.05,13.85,5.68
Infection plant,37.09,21.75,88.63,29.36,32.14,25.99,7.98,16.95,13.99,134.02,12.73,18.09,49.56,19.12,9.12,20.11,3.13,62.29,80.74,11.66,8.27
Infection plant,38.19,12.08,137.26,29.9,37.01,25.92,6.62,25.91,15.87,120.42,18.57,18.56,48.64,18.93,10.78,13.52,2.69,24.34,70.8,13.87,4.94
Infection plant,31.36,16.51,87.44,35.19,46.11,25.27,6.85,14.99,9.16,196.15,15.05,18.72,25.94,12.73,1.82,19.98,8.36,80.01,66.37,11.6,6.13
Infection plant,39.5,21.98,85.89,31.38,24.27,21.4,6.83,24.4,8.62,173.7,18.78,22.24,26.62,19.6,10.89,15.84,10.37,56.74,64.31,9.02,8.55
Infection plant,31.44,18.92,132.9,49.82,49.6,20.32,3.57,14.95,17.95,173,17.19,22.57,20.93,18.78,10.2,13.56,10.46,20.63,98.69,13.95,5.14
Infection plant,38.44,12.63,99.9,21,35.55,20.92,6.9,19.8,15.56,201,8.2,21.23,19.8,18.04,7.7,11.45,2.67,42,89.58,5.1,3.5
Infection plant,35.42,20.5,127.36,16.8,28.7,22.83,7.53,22.2,8.23,169.66,15.08,19.97,21.07,19.07,7.66,17.35,4.95,37.99,24.42,13.8,3.64
Infection plant,33.36,13.44,123.23,45.47,29.34,16.27,9.24,18.2,12.67,130.36,13.27,24.41,41.77,12.77,1.98,18.75,6.44,61.24,78.67,13.86,8.7
Infection plant,30.73,19.09,80.44,26.54,43.22,23.63,5.59,29.48,14.56,138.63,8.71,25.69,34.88,13.35,5.47,20.33,7.99,55.04,19.45,4.81,1.53
Infection plant,38.14,15.58,100.89,29.06,43.83,23.22,10.44,22.35,16.75,116.27,9.05,17.69,42.43,13.25,5.77,13.57,5.36,89.37,83.89,5.9,4.06
Infection plant,37.58,18.73,124.16,46.19,40.03,21.03,6.12,17.8,8.4,203.16,8,19.4,10.28,15.42,5.01,14.52,4.03,54,82.26,9.78,1.76
Infection plant,30.91,18.84,116.16,36.26,35.68,19.58,3.15,19.25,16.31,117.83,14.49,19.01,47.9,12.89,4.49,15.41,3.73,55.08,35.33,13.66,4.53
Infection plant,32.58,17.8,123.36,42.3,46.37,25.69,9.12,26.01,14.62,178,15.03,17.07,32.06,11.02,1.61,18.34,9.87,96.15,23.84,5.27,10.83
Infection plant,33.96,21.46,104.49,25.56,44.4,23.45,7.05,28.98,15.53,130.8,14.81,18.71,25.15,13.08,5.85,17.9,8.35,65.57,55.2,5,6.18
Infection plant,39.29,18.74,125.46,48.01,47.12,16.9,11.21,20.81,16.58,157.14,16.23,19.86,33.01,17.96,7.63,17.13,4.44,85.67,54.16,6.47,2.76
Infection plant,32.8,12.49,129.15,47.46,43.98,22.23,5.72,24.21,8.83,112.34,13.29,18.99,37.69,18.19,8.65,19.77,7.5,17.5,68.08,11.27,9
Infection plant,34.88,20.68,132.96,39,44,24.1,10.15,24.06,10.05,126.68,16.92,22.07,42.36,14.05,10.44,12.24,7.91,55.89,45.03,7.33,4.7
Infection plant,39.41,21.8,84.24,40.3,35.52,19.26,10.17,16.43,13,117.66,10.94,19.35,14.3,19.01,3.88,17.09,6.03,82.87,68.38,6.44,4.1
Infection plant,30.59,15.86,128.69,39.72,32.49,21.17,11.55,15.81,17.72,119.27,13.31,18.11,47.99,15.34,3.77,12.85,9.08,65.16,54.28,11.21,8.38
Infection plant,39.69,14.72,93.92,10.75,47.66,21.49,10.48,16.13,13.15,156.99,9.41,20.26,14.54,18.15,7.34,15.06,1.82,55.84,56.58,4.43,8.51
Infection plant,31.55,18.57,121.58,19.28,47.73,17.46,10.74,19.42,8.06,117,15.45,19.37,28.64,10.56,3.79,14.45,4.71,24.79,54.57,4.88,4.3
Infection plant,30.04,20.86,100.41,18.84,21.78,23.82,6.65,29.29,8.92,180.11,11.36,23.84,48.86,13.8,9.08,16.67,1.51,50,24.82,10.27,2.71
Infection plant,39.89,20.3,109.77,16.99,22.35,25.72,9.99,26.5,12.16,116.4,12.68,24.05,26.19,12.49,7.02,11.49,8.58,28.92,54.01,13.23,7.95
Infection plant,34.69,18.16,98.44,29.78,44.17,21.79,4.37,21.62,8.45,198.57,9.24,24.35,23.06,17.99,1.71,12.54,5.73,35.84,89.69,13.77,9.6
Infection plant,39.75,18.7,111.95,32.33,36.19,18.83,11.82,28.21,14.6,204.27,18.3,19.04,47.25,13.03,7.1,16.06,6.26,41.06,38.56,6.62,6.22
Infection plant,32.5,16.23,115.28,48.17,44.07,25.4,3.46,16.55,17.35,176.14,10.27,20.06,25.51,17.79,3.95,16.78,5.71,70,54.91,13.51,2.11
Infection plant,35.63,15.68,120.21,28.54,36.48,20.24,12.83,22.46,11.62,155.72,13.51,26.42,36,10.96,10.72,20,5.52,27.35,63.62,9.74,7.15
Infection plant,36.53,12.38,82.9,21.86,37.09,20.42,3.72,15.74,16.01,150.95,15.95,21.94,26.21,11.56,1.03,13.81,8.99,89.02,24.2,13.05,2.78
Infection plant,35.08,13.23,131.34,46.76,46.17,19.98,12.95,20.63,8.17,162.59,13.7,24.93,21.69,14.08,10.58,15.68,9.72,56.98,54.26,10.82,2.84
Infection plant,34.77,14.53,129.46,41.72,25.92,17.68,12.53,20.27,10.22,123.29,13.11,20.11,49.23,17.74,10.28,15.64,7.48,46.19,63.18,12.29,4.77
Infection plant,33.41,19.02,121.78,13.07,48.22,23.47,3.58,28.66,9.44,172,9.29,17.19,42.14,14.48,10.42,17.12,9.38,23.12,36.33,6.16,9.37
Infection plant,31.74,15.52,119.35,31.67,49.35,22.31,4.59,20.94,15.83,209.31,10.99,25.23,11.02,16.07,2.83,14.53,7.66,77.7,32.59,9.39,3.49
Infection plant,34.71,13.26,102.1,39.74,21.89,18.32,3.25,17.38,14.52,149.48,10.35,26.58,22,19.02,9.76,16.8,4.9,39,37.42,4.45,3.21
Infection plant,35.95,12.15,97.98,26.82,37.55,21.72,3.33,22.87,16.39,169.39,8.73,20.2,42.1,16.96,1.66,11.09,5.63,16.59,91.25,8.52,6.19
Infection plant,33.6,15.11,82.81,43.88,24.32,21.14,8.46,27.43,17.46,171.82,11.75,19.14,45,13.99,8.37,17.3,3.78,48.85,63.39,11.45,7.78
Infection plant,31.38,17.58,115.88,41,35.34,16.8,3.82,25.19,11.86,143.09,15.68,23.91,24.68,12.57,10.25,12.74,10.14,18.94,68.31,4.37,1
Infection plant,36.52,20.71,108.35,24.47,29.35,21.91,6.26,23.57,15.92,168.12,17.47,19.18,27.48,15.03,6.76,20.69,10.51,92.41,31.02,7.62,1.33
Infection plant,30.93,20.78,96.98,37.91,49.71,24.25,5.97,17.78,15.59,209.21,19.78,23.36,33.45,14.28,6.54,16.91,5.68,78.74,86.17,9.66,8.15
Infection plant,34.86,14.54,101.65,32.81,35.61,19.51,7.23,22.72,12.22,166.21,11.94,20.59,18.94,12.81,4.91,13.73,9.91,68.83,83.32,13.89,8.46
Infection plant,30.12,21.59,130,37.8,36.86,24.24,9.94,19.49,17.84,170.91,9.57,26.06,47.02,13.5,6.42,18.64,7.89,56.29,32.75,7.8,5.29
Infection plant,30.97,13.47,134.3,25.64,45.41,18.82,10.27,22.3,10.55,126.17,11.51,17.83,44.46,18.28,7.47,17.48,3.74,56.95,67,9.11,10.9
Infection plant,30.23,18.17,95.93,19.62,44.34,18.43,7.85,25.24,16.71,152.74,15.31,22.13,14.55,11.63,8.16,14.22,4.26,86.08,69.67,5.2,3.43
Infection plant,38.13,19.56,94.71,46.02,21.77,23.16,5.95,28.39,13.4,109.65,11.42,25.89,48.76,10.42,8.75,14.1,7.62,55.51,32.88,5.05,6.36
Infection plant,31.42,20.21,121.83,14.81,47.53,22.53,7.82,27.7,15.98,141.74,19.96,24.2,23.74,19.17,4.74,18.6,10.57,52.28,70.54,12.61,8.21
Infection plant,33.67,13.6,113.06,27.49,26.18,20.66,5,26.07,9.28,168.95,18.91,26.21,19.74,15.73,4.34,16.88,1.34,55.1,56.88,13.25,6.12
Infection plant,31.1,20.61,85.4,31.82,46.74,16.52,5.43,17.97,16.9,156.33,10.98,21.48,38.49,17.66,7.99,11.01,9.43,44.72,46.4,11.69,7.68
Infection plant,32.59,21.96,99.54,48.25,39.88,23.36,9.45,28.05,13.98,208.16,11.82,20.91,49.2,19.92,4.64,15.3,3.93,39.46,48.28,8.95,9.78
Infection plant,33.14,15.25,122.55,48.23,26.99,18.15,10.73,14.43,15.34,160.07,8.91,21.93,45.77,14.74,1.93,17.42,10.09,56.8,52.56,5.93,1.49
Infection plant,37.56,15.04,99.87,49.05,42.05,17.24,9.92,20.45,11.87,122.76,8.88,21.34,38.62,13.36,7.71,11.33,6.88,38.17,55.33,8.15,5.85
Infection plant,31,20.23,94.32,19.41,36.49,22.1,10.98,29.72,9.35,155.1,15.88,19.42,35.92,16.67,1.09,18.39,8.21,39.15,29.44,6.87,7.11
Infection plant,33.83,16.09,119.88,16.19,24.1,20.18,5.28,15.42,9.15,134.18,16.46,20.19,38.91,18.33,2.69,15.36,3.16,48.52,93.45,9.85,9.36
Infection plant,32.09,15.14,117.97,48.12,47.64,23.12,3.83,29.4,17.54,209.59,15.85,24.17,49.78,18.91,10.07,16.79,2.83,37,80.08,12.24,9.5
Infection plant,32.78,16.14,132.3,39.31,24.64,25.68,10.57,21.31,13.91,164.19,8.72,24.62,15.74,16.39,7.4,15.55,2.84,66.77,80.61,10.88,10.75
Infection plant,31.76,13.09,100.1,34.9,47.09,23.37,4.97,15.86,11.73,187.24,9.52,22.15,40.37,16.19,1.96,12.56,10.56,73.14,33.27,5.29,2.12
Infection plant,32.13,13.4,136.66,29.77,49.06,19.92,8.48,29.31,9.03,185,13.94,21.8,48.23,14.75,7.72,20.17,6.95,92.24,95.59,8.9,9.32
Infection plant,39.87,19.65,132.88,25.94,30.85,24.92,4.81,15.68,14.18,169.86,13.59,25.57,30.83,10.44,4.06,11.75,8.69,65.55,95.03,5.5,4.26
Infection plant,33.29,13.65,132.04,42.45,42.51,25.57,6.5,27.29,11.95,208.21,14.97,21.98,19.11,14.23,5.19,11.97,5.97,12.51,98.28,8.39,10.31
Infection plant,38.56,20.67,104,44.04,45.94,25.48,5.69,26.31,15.88,111,15.6,19.62,29.21,18.2,3.8,20.31,9.82,70.75,54.23,13.15,8.56
Infection plant,34.22,18.95,89.72,38.89,36.35,24.85,4.03,18.99,12.05,126.61,11.1,17.73,13.1,14.03,7.85,20.55,5.89,24.31,67.86,12.34,6.76
Infection plant,32.29,20.64,132.06,20.41,23.8,23.81,3.98,27.39,10.23,141.34,8.01,25.76,37.32,10.71,1.67,19.28,9.07,56.54,35,10.01,7.4
Infection plant,32.03,18.34,87.33,25.93,46.65,22.3,11.18,24.85,8.2,166.09,18.73,20.5,35.81,15.84,9.62,18.53,3.86,18.03,20.09,10.41,9.76
Infection plant,34.26,19.62,89.07,46.32,37.53,19.89,3.88,25.76,12.13,118.98,15.43,21.86,18.98,14.91,7.14,13.27,5.04,55.78,21.74,10.42,6.78
Infection plant,33.49,18.45,124.94,28.66,48.61,25.86,7.76,28.07,13.28,197.55,8.63,24.49,31.8,12.08,5.96,20.08,8.15,55.32,61.24,13.58,9.15
Infection plant,32.82,15.98,85.62,20,49.95,25.9,8.75,14.53,17.12,137.38,19.42,17.34,25.99,15.35,1.01,20.38,8.68,43,72.02,4.19,8.45
Infection plant,38.24,20.32,84.11,12.85,37.39,17.6,8.77,27.71,15.22,115.39,18,18.54,45.3,11.93,5.94,19.55,9.79,14.85,19.51,10.46,9.05
Infection plant,37.8,12.54,89.76,49.63,25.71,23.43,7.12,19.75,15.96,120.51,11.08,23.26,28.34,11.7,6.38,19.21,8.24,24.62,26.05,12.48,4.43
Infection plant,38.65,12.82,91.33,29.17,47.41,22.42,7.3,29.77,8.96,167,17,22.46,34.21,19.94,9.8,12.19,6.14,68.87,22.28,7.94,5.43
Infection plant,37.65,18.07,127,18.43,47.99,17.13,9.66,20.86,16.74,170.25,8.46,21.6,23.76,16.34,2.03,18.49,6.39,98.64,47.01,5.89,10.87
Infection plant,39.6,13.12,108.45,42.59,24.65,21.04,6.09,16.8,8.68,189.92,9.97,20.05,32.52,10.76,9.42,20.75,6.56,77,99.1,9.98,3.26
Infection plant,32.71,16.25,139.09,31.12,24.06,21.39,12.88,21.24,10.6,207.72,19.22,18.7,15.15,11.62,9.78,18.47,1.08,36.25,55.79,6.13,4.29
Infection plant,33.09,15.77,106.03,33.8,28.05,19.45,6.05,26.12,8.51,174.82,14.01,25.2,10.66,19.21,8.22,11.29,6.63,60.12,54.83,9.65,9.25
Infection plant,36.79,21.45,116.71,12.27,28.08,25.18,11.1,29.98,15.75,170.04,15.76,19.52,14.94,17.07,1.04,20.63,4.4,74.01,28,11.04,2.24
Infection plant,37.5,18.81,130.46,49.36,33.6,22.03,4.18,16.53,10.4,135.2,19.34,25.32,38.28,17.8,10.32,11.15,1.84,93,48.39,10.09,7.47
Infection plant,38.57,14.35,120.43,25.18,39.16,23.4,9.53,27.66,10,135.9,11.67,26.73,15.22,14.52,8.94,11.43,9.63,20.38,23.13,11.86,2.19
Infection plant,32.54,20.11,90.04,24.32,42.07,17.97,11.6,17.92,15.65,124.24,19.44,24.44,28.87,17.73,10.3,15.92,5.58,55.07,74.92,13.16,7.93
Infection plant,36.9,15.72,86.47,16.55,43.45,24.04,4.64,23.39,10.51,164.96,15.57,19.61,23,12.13,7.25,13.72,6.51,16.97,79.23,8.94,8.68
Infection plant,38.67,13.56,130.01,26.62,36.31,25.8,11.38,25.98,17.4,184.86,15.72,23.88,36.89,16.53,2.23,18.96,2.15,90.32,21.23,12.6,1.54
Infection plant,39.48,17.89,103,20.26,39.79,19.86,4.6,14.07,16.38,187.19,14.43,17.11,33.07,18.79,6.65,12.38,9.11,53.71,68,4.24,4.98
Infection plant,34.79,20.99,83.49,34.91,35.03,24.05,7.77,29.32,14.77,194.95,14.12,23.98,21.02,15.49,3.16,15.27,9.04,34.92,26.04,6.75,5.04
Infection plant,35.64,20.19,125.24,41.22,32.01,24.32,4.09,22.96,10.67,131.73,9.02,24.7,13.22,17.55,8.71,11.77,8.86,98,87.63,9.05,6.02
Infection plant,33.47,20.47,81.68,25,30.17,20.65,6.51,20.75,9.49,198.18,18.38,24.57,16.67,11.33,8.07,16.51,3.5,58,19.22,5.85,9.93
Infection plant,32.22,20,106.53,27.48,35.15,19.23,8.51,19.53,9.4,171.96,17.83,22.85,35.35,18.87,3.81,16.64,7.32,71.83,58.05,6.5,3.34
Infection plant,32.27,17.54,132.34,17.85,27.05,17.77,3.95,20.98,8.98,147.62,14.61,20.75,37.54,10.16,1.77,13.86,2.03,65.34,75.58,5.12,3.65
Infection plant,38,16.97,84.08,25.3,41.56,25.66,8.54,29.58,12.08,146.56,15.79,17.48,36.32,11.35,8.23,11.04,2.35,30.98,37,11.06,8.66
Infection plant,35.67,16.67,113.99,16.37,31.14,17.57,7.34,18.54,10.98,151.64,8.9,25.46,14.72,16.45,4.83,20.21,2.7,14.09,51.46,5.49,2.83
Infection plant,37.32,17.69,103.09,11.16,38.4,17.17,11.25,27,12.59,174.88,16.75,17.84,35.4,18.55,5.51,13.32,5.08,27,24.88,10.02,2.56
Infection plant,32.34,18.3,132.49,37.39,28.5,18.04,6.3,16.76,8.56,172.6,12.01,25.87,45.21,10.8,4.65,14.83,1.9,55.11,95.2,8.66,6.04
Infection plant,35.17,16.98,135.41,30.87,25.79,20.25,8.09,20.57,13.11,192.46,14.32,19.71,17.04,17.57,9.99,16.29,9.52,53.5,64.7,13.27,4.73
Infection plant,38.39,15.62,122.14,39.66,32.48,16.06,11.06,19.95,11.09,155.49,14.77,17.27,44.18,13.84,4.92,16.43,1.94,20.68,58.37,10.06,5.94
Infection plant,30.44,17.15,94.97,49.16,32.43,23.18,6.11,16,15.91,127,14.59,23.89,29.06,10.95,3.46,19.84,10.36,55.47,66.55,13.74,7.82
Infection plant,34.58,16.62,125.47,34.44,25.89,17.82,3.05,14.57,17.59,208.25,15.64,23.97,25.76,12.97,7.26,12.49,8.37,30.56,75.91,7.44,5.77
Infection plant,38.41,14.86,94.82,23.28,49.86,17.92,9.44,24.58,13.87,209,11.29,19.59,34.42,17.52,4.84,17.86,5.3,55.43,38.28,9.03,2.52
Infection plant,38.7,17.34,135.87,24,39.48,22.63,5.23,28.04,11.41,207.09,13.6,18,18.97,13.48,4.58,17.6,10.35,67.85,32.65,11.74,8.26
Infection plant,34.52,19.41,133.57,12.68,22.36,17.41,4.83,14.52,17.41,147.17,9.03,20.63,21.82,10.05,3.82,19.05,5.8,99.77,44.03,10.77,1.21
Infection plant,39.31,12.99,99.78,34.02,41.41,19.49,11.28,25.6,13.8,140.12,10.44,25.09,14.1,10.59,2.85,20.99,3.48,74.93,34.06,7.15,1.05
Infection plant,37.89,16.07,139.36,35.22,33.83,24.97,10.63,15.54,10.9,179.34,14.18,25.82,37.62,19.79,6.88,13.25,5.25,51.16,36.54,9.36,9.13
Infection plant,39.45,20.03,98,22.63,38.37,17.67,5.86,25.2,16.91,113.28,16.86,26.01,49.01,17.29,4.71,16.76,1.09,33.59,91.88,13.26,5.78
Infection plant,30.63,20.82,88.93,33.74,22.11,16.25,11.63,24.61,13.17,147.31,11.88,26.49,38.02,19.06,1.11,20.1,3.3,70.21,23.97,7.52,10.61
Infection plant,33.44,15.49,120.08,19.37,38.74,18.07,10.53,29.06,12.17,179.48,9.61,17.55,21.83,18.89,1.2,18.03,10.28,28,45.63,4.38,7.8
Infection plant,39.33,16.86,82.37,14.47,23.01,16.29,9.14,18.22,9.98,120.89,11.02,24.91,43.35,12.14,7.79,18.56,6.85,46.09,33.87,11.96,6.56
Infection plant,36.15,16,126.27,10.72,38.52,16.3,7.04,17.43,14.84,114.91,13.38,20.13,29.04,16.69,2.9,16.04,2.52,66.51,63.16,10.34,10.72
Infection plant,34.96,21.19,121.62,19.79,30.83,20.4,4.87,26.32,15.24,153,8.13,19.9,41.26,18.95,5.8,20.45,4.78,68.64,32.23,13.82,6.48
Infection plant,39.16,12.18,98.73,29.04,22.45,18.95,5.87,27.12,13.94,197.95,12.71,26.79,45.82,18.02,5.08,14.26,10.47,62.76,25.17,10.43,9.62
Infection plant,32.35,13.98,119.21,49.97,38.51,22.66,8.93,20.41,10.96,196.35,10.07,26.02,44.08,13.89,1.75,18.29,1.8,24.94,36.97,8.87,4.86
Infection plant,33.45,17.04,107,18.94,26.77,23.06,6.36,29.83,12.38,190.23,9.81,18.2,15.13,14.85,2.25,20.15,5.46,68.63,40,5.82,5.19
Infection plant,33.56,19.63,130.4,18.97,40.27,22.15,7.29,29.18,14.92,171.7,13.68,20.55,49.17,10,1.5,13.45,9.49,81.93,92.1,8.04,1.29
